div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,1974,1,15,0,16557124.602,1804726.6279,370545.896,172010.97407,0.0058155742,0.0084795366,0.0139777782,0.0171682336
IV,1974,2,31,2039891.4669,11580247.572,694865.86453,27882.524563,128254.40688,0.0059038581,0.0090625477,0.0154270315,0.0195371375
IV,1974,3,102,3175848.8141,11011217.686,1091753.4602,25754.99236,120838.60392,0.0050436663,0.007932165,0.0155393586,0.0199083206
IV,1974,4,25,1394208.2233,2493719.8869,289355.9979,10300.546456,42273.789968,0.0068040303,0.0108820577,0.0188638688,0.0186764532
IV,1975,1,67,258977.43225,25580639.241,7874444.5033,171603.45969,331508.80896,0.0048654876,0.0087095287,0.0132640406,0.0175151119
IV,1975,2,46,1367252.8322,15066019.446,3652856.407,180546.08871,247178.79716,0.0076524479,0.0112273475,0.0174372829,0.0214274785
IV,1975,3,40,5464184.9911,4828825.8065,1923922.9164,51935.487765,110820.30499,0.0049368372,0.0108661623,0.0157740682,0.0197479076
IV,1975,4,11,2875157.9162,1170731.6776,373132.5719,12459.519705,38769.020376,0.0062972102,0.0117297563,0.0180044463,0.0171037179
IV,1976,1,54,2376095.194,37662738.007,2066464.4811,133537.77285,304024.59253,0.0048406918,0.0070688927,0.0118632957,0.0132230861
IV,1976,2,70,8098309.8673,18478138.701,1259221.509,68461.069536,226686.0821,0.0045115599,0.0091275272,0.016028963,0.0190815713
IV,1976,3,53,7937962.9257,6751324.1002,208981.08385,6420.7992618,60500.751543,0.0022508643,0.0059665963,0.0107567515,0.0160557792
IV,1976,4,16,4091461.5808,1187348.0492,34629.699497,1508.8571605,21165.389046,0.0034096067,0.005798334,0.0089251715,0.0141813754
IV,1977,1,37,2924470.1177,11252482.742,4206721.1564,70929.450768,165977.85339,0.0054100632,0.0084427484,0.0128115379,0.017782725
IV,1977,2,51,2892246.9245,4911455.6819,3321205.7865,46607.780765,123756.00602,0.0060438013,0.0112595354,0.015063785,0.0202816162
IV,1977,3,32,15813157.805,1979010.7899,1974566.7304,27789.711416,73774.73095,0.0022999016,0.0079167346,0.0108089663,0.0142389019
IV,1977,4,18,10037188.441,140172.72838,3344.3210455,130.50463402,25809.115465,0.0024752814,0.0066269937,0.0100659888,0.0127326767
IV,1978,1,52,523777.33333,28374629.003,303180.05626,61843.849531,202393.7086,0.003828057,0.0069017929,0.0120574063,0.0144436429
IV,1978,2,78,5663936.2431,10302378.244,1006015.2815,91712.208307,150908.30799,0.0045397389,0.0104199291,0.0159742232,0.0193549192
IV,1978,3,47,6308362.0865,4864307.5036,948151.04968,22334.175825,76585.944797,0.0031765689,0.0091074979,0.0125172179,0.0168850766
IV,1978,4,22,10737687.848,1040689.1258,10713.608475,1254.9389146,26792.581509,0.0019950141,0.0050687713,0.0078199032,0.0095211528
IV,1979,1,86,3634462.815,32190193.581,398280.20536,65150.501617,210105.99692,0.004982781,0.005867206,0.0065874248,0.0112542346
IV,1979,2,55,1152175.0829,11464465.512,1808182.5811,44068.693366,156658.72577,0.0054429397,0.0106362432,0.0152952733,0.0179736762
IV,1979,3,90,3953588.0077,6192948.7006,254361.747,20758.427354,64982.495558,0.0033698777,0.0077481575,0.0130968799,0.0165764022
IV,1979,4,9,7542609.178,76165.058871,16040.649148,872.9110624,22733.26801,0.0028767105,0.0107967431,0.0124504928,0.0152555258
IV,1980,1,0,0,12671698.291,15106142.884,1008826.3557,178273.07671,0.0058155742,0.0051657526,0.0069079094,0.0083856572
IV,1980,2,0,0,9448241.0629,11263405.758,752198.66986,132923.54072,0.0056808557,0.005136837,0.0069394936,0.0082774858
IV,1980,3,49,2612214.2716,3668992.9303,313466.47958,6380.77901,45124.130418,0.0033026365,0.0087710124,0.0134164421,0.017325314
IV,1980,4,28,2101309.7229,768571.36196,25779.352997,11929.619229,15786.081186,0.0045777535,0.0073192194,0.0103677936,0.0229836174
IV,1981,1,61,494187.87866,10668355.324,1084996.0731,89719.901995,123793.60772,0.006707193,0.0098305398,0.0130562135,0.0160204388
IV,1981,2,32,555330.16316,3693713.3758,2644826.3351,150774.69903,92302.690679,0.0064852805,0.0122851207,0.015296802,0.0189951769
IV,1981,3,29,419329.30278,3763076.3579,243929.25065,5362.6194075,40174.49457,0.0049563123,0.0090353219,0.0163082198,0.0219127228
IV,1981,4,14,185217.49342,285158.4633,64751.862355,2441.720952,6576.2903776,0.0063286526,0.0142959362,0.0196896418,0.0215278558
IV,1982,1,27,533838.8373,5704736.2124,462209.96203,39045.169162,64245.942296,0.0083881531,0.0088840381,0.0179581731,0.0201273717
IV,1982,2,48,899798.26948,4923936.2314,908841.38169,40430.715553,77047.822756,0.0071880248,0.0111250643,0.0164039776,0.022062017
IV,1982,3,13,2464874.0347,349951.55466,36643.071127,2850.5826702,10455.015169,0.002937138,0.007823783,0.0117076813,0.0169753407
IV,1982,4,16,463234.98098,160754.83334,23619.676044,991.7246742,3379.9794324,0.0041090228,0.0074939447,0.0108767371,0.0150682007
IV,1983,1,11,5207909.6902,2448019.6521,858190.39045,101530.23304,59325.470035,0.0047961429,0.0090391849,0.0124797168,0.0148661249
IV,1983,2,44,2313687.5679,1315381.601,500360.91588,71153.771016,36689.108364,0.0042958326,0.0126753227,0.017163591,0.0209308472
IV,1983,3,27,1659745.0681,520424.42442,5210.2464091,0,10971.597561,0.0035307932,0.0096546677,0.0166702569,0.0156978131
IV,1983,4,8,639335.67591,66284.326251,1804.0724005,0,3064.4689634,0.0038235759,0.0089997806,0.0129573977,0.0150652173
IV,1984,1,9,127023.92318,6643744.7807,310175.74541,1719.5543195,56989.858714,0.005142111,0.0078943544,0.0124433282,0.0168610183
IV,1984,2,23,541419.17448,2419580.6439,177891.45021,3326.4903483,36066.719762,0.0053922263,0.0123861024,0.0175530051,0.0167028735
IV,1984,3,29,1436410.5696,783066.86969,316.0829028,0,11215.836685,0.0031186949,0.0085968347,0.0133318629,0.0156978131
IV,1984,4,7,623710.75235,45998.288395,1844.0490938,0,2322.883863,0.0030125934,0.0091333446,0.0128948568,0.0150652173
IV,1985,1,4,164278.91153,1494892.1213,658014.83765,15604.284364,33793.519004,0.0082141123,0.0135183311,0.0180774061,0.0218187165
IV,1985,2,4,77526.22178,705466.9224,310529.23205,7363.9470768,15947.779448,0.0073144626,0.0135297487,0.0182777075,0.0217497674
IV,1985,3,0,63692.394463,196220.24442,5659.6373259,0,4592.8647078,0.0102292134,0.0193162202,0.0266992648,0.0156978131
IV,1985,4,4,8409.5522061,25907.714779,747.26371902,0,606.41362067,0.0108061564,0.019160178,0.0256164675,0.0150652173
IV,1986,1,4,122466.17598,215471.74582,324019.97547,3237.6824918,9026.85097,0.0075300783,0.0123925859,0.0165720018,0.0200017529
IV,1986,2,1,115353.12661,202956.77053,305200.32943,3049.6322385,8502.5557015,0.0067347834,0.0124575013,0.016829179,0.0200260745
IV,1986,3,0,530914.30924,42309.647228,354.85903486,0,5216.3024992,0.0085270558,0.01610197,0.022256464,0.0156978131
IV,1986,4,1,223510.73029,17812.027263,149.39285051,0,2196.0221466,0.0085967813,0.0152427795,0.0203790469,0.0150652173
IV,1987,1,16,3332.4997814,1810520.5689,77252.458356,646.11407786,16619.262142,0.0064763722,0.0086455477,0.0121003292,0.0154114458
IV,1987,2,15,60558.481808,1627098.3984,202374.58428,825.67351071,17941.825212,0.005881119,0.0093873585,0.0113535945,0.0167604508
IV,1987,3,4,233960.63792,788708.90222,37571.425331,21735.910016,12728.401515,0.0067381943,0.0127239936,0.0175873576,0.0209616336
IV,1987,4,3,106084.72707,357624.12589,17036.004164,9855.7094992,5771.4366515,0.0071415497,0.0126625378,0.0169293567,0.0199873673
IV,1988,1,8,3941848.1905,1766831.1132,2372418.3165,29226.292394,61732.177053,0.0043473177,0.0090197694,0.0119089738,0.0138794739
IV,1988,2,4,1192767.751,286513.33466,488508.75493,8847.9086918,13917.791781,0.0046863312,0.0086684268,0.0117104148,0.0139898788
IV,1988,3,9,1829278.5466,636926.29035,57066.669554,5295.1696742,20058.725416,0.0052939278,0.0144153006,0.0194224381,0.0160144028
IV,1988,4,1,80939.795917,30573.858441,4579.856596,206.620805,966.35711164,0.006592482,0.0116889969,0.0156277676,0.0184506675
IV,1989,1,13,14234.062865,1811157.4421,3282146.4187,3639.5672535,48582.561012,0.0056520767,0.008618364,0.0100035875,0.0163909476
IV,1989,2,0,926.27630548,80910.592344,80464.366641,211.1383723,1561.4774603,0.0044324334,0.0081987856,0.0110759637,0.0131799699
IV,1989,3,7,479954.7555,389828.65903,16075.568087,8855.1778687,5832.5459233,0.0047833514,0.0081912356,0.0126015826,0.0159226263
IV,1989,4,2,50434.310481,41549.675574,2049.7719908,1060.5384434,646.40138677,0.0048994874,0.0086871823,0.0116144497,0.0137124095
IV,1990,1,4,1839.4343546,2632227.6529,2062198.3388,217686.2005,40388.555207,0.0042638786,0.0070172553,0.0093838339,0.011643856
IV,1990,2,0,1460.7363017,2090311.338,1637638.205,172869.52081,32073.462483,0.0037812524,0.0069942795,0.0094487633,0.0113746015
IV,1990,3,13,282754.10863,54868.647598,1978.7740442,453.28051052,1853.856971,0.0044574649,0.0102016169,0.0135527105,0.0152748225
IV,1990,4,1,65662.819968,14369.025214,678.40574577,131.15479236,459.99968708,0.0049400975,0.0087591873,0.0117107177,0.0138260667
IV,1991,1,6,43330.252086,1631405.7709,2248101.2012,7338.816156,58742.680796,0.0069082993,0.014260648,0.0155936349,0.0166811636
IV,1991,2,28,1551975.4005,2874668.1335,445765.13124,7911.5550402,59213.008546,0.0057037249,0.0145419868,0.0189102093,0.0162460455
IV,1991,3,15,204887.13904,55076.111601,944.87946695,95.294818565,1673.4018487,0.0052693787,0.010498264,0.0147401657,0.0172378061
IV,1991,4,8,498832.02593,35525.011724,699.81942443,86.066350702,3548.4565469,0.0062193676,0.0121960275,0.015956597,0.0186603549
IV,1992,1,41,41938.495169,9160058.6742,1014826.9563,131069.49362,106118.0004,0.0066249503,0.0099230857,0.0127581901,0.0152154751
IV,1992,2,34,242670.84301,1116534.8272,110629.51389,21526.78495,17041.3712,0.0059599008,0.0120735405,0.0155094534,0.0185222509
IV,1992,3,24,1320871.9656,1499645.8861,201615.39786,4457.6256586,22663.392477,0.0036507537,0.0099199943,0.014317192,0.0175360726
IV,1992,4,4,613305.9196,364681.46731,45173.759523,956.41257319,6028.3153441,0.0044012633,0.0078037913,0.0104333877,0.012318008
IV,1993,1,21,186946.18928,2922793.2044,3870340.6209,1080381.3562,94687.210782,0.0063820822,0.0108642551,0.0123087916,0.0130476759
IV,1993,2,30,1439457.8603,4853824.4891,1142084.3174,21226.38156,78980.691397,0.0079999487,0.0105575647,0.0138885879,0.0168912473
IV,1993,3,24,1918805.4878,1812441.1821,291117.03211,27907.125644,23197.906139,0.002417669,0.0080809405,0.0120310413,0.0146987224
IV,1993,4,7,6871683.8899,571866.51387,29121.535128,2904.1062215,23627.215062,0.0023537081,0.0123737202,0.0116255519,0.0132939016
IV,1994,1,42,974196.03202,36753343.127,392270.43481,77171.823394,257075.11957,0.0059237212,0.0066980447,0.0104163236,0.0134158162
IV,1994,2,50,2623834.0299,7019544.7029,1236280.9336,117231.24749,110154.47523,0.0079147746,0.010282754,0.0124741599,0.0152314806
IV,1994,3,32,855922.25427,2923604.9627,494008.90028,16568.752138,31960.164805,0.0028901409,0.0083207317,0.009879899,0.0168472844
IV,1994,4,5,3466579.5595,1165257.8556,47617.726161,127.1172106,21868.966824,0.0037729887,0.0071243404,0.010206918,0.0147698174
IV,1995,1,40,212681.96447,22824025.283,2183014.7599,242586.86791,219524.20309,0.003766411,0.0082811156,0.0122048387,0.0126578696
IV,1995,2,47,684483.63689,8993460.7045,2408595.4693,376228.52568,134797.53928,0.0049884339,0.0102570876,0.0137394606,0.0160637418
