div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3,mw4
IV,1974,1,15,0,18667057.268,2034808.8887,418171.34627,193945.70279,0.0058192847,0.0084798584,0.0139788854,0.0171636173,
IV,1974,2,31,2039891.4669,11580247.572,694865.86453,27882.524563,128254.40688,0.0059038581,0.0090625477,0.0154270315,0.0195371375,
IV,1974,3,102,3175848.8141,11011217.686,1091753.4602,25754.99236,120838.60392,0.0050436663,0.007932165,0.0155393586,0.0199083206,
IV,1974,4,25,0,0,0,0,0,0.0075481073,0.0116418826,0.0153731234,0.0201381693,
IV,1975,1,67,295093.05737,28952449.543,8848741.0284,190889.07616,373782.59893,0.004866779,0.0086934187,0.0132567252,0.0175203676,
IV,1975,2,46,1367252.8322,15066019.446,3652856.407,180546.08871,247178.79716,0.0076524479,0.0112273475,0.0174372829,0.0214274785,
IV,1975,3,40,5464184.9911,4828825.8065,1923922.9164,51935.487765,110820.30499,0.0049368372,0.0108661623,0.0157740682,0.0197479076,
IV,1975,4,11,0,0,0,0,0,0.0074234158,0.0135115682,0.0207068701,0.0207351595,
IV,1976,1,54,2632882.7615,42301707.907,2338418.3956,149598.17498,342793.6129,0.0048555853,0.0070885943,0.0120419486,0.0132464743,
IV,1976,2,70,8098309.8673,18478138.701,1259221.509,68461.069536,226686.0821,0.0045115599,0.0091275272,0.016028963,0.0190815713,
IV,1976,3,53,7937962.9257,6751324.1002,208981.08385,6420.7992618,60500.751543,0.0022508643,0.0059665963,0.0107567515,0.0160557792,
IV,1976,4,16,0,0,0,0,0,0.0043954111,0.0075671872,0.0114531498,0.0182847258,
IV,1977,1,37,3183017.5106,12747886.569,4755572.3303,81352.867856,187143.24244,0.0054285507,0.0084277872,0.0128225827,0.0178320192,
IV,1977,2,51,2892246.9245,4911455.6819,3321205.7865,46607.780765,123756.00602,0.0060438013,0.0112595354,0.015063785,0.0202816162,
IV,1977,3,32,15813157.805,1979010.7899,1974566.7304,27789.711416,73774.73095,0.0022999016,0.0079167346,0.0108089663,0.0142389019,
IV,1977,4,18,0,0,0,0,0,0.0030650843,0.0078113413,0.0118023786,0.014929072,
IV,1978,1,52,598139.67526,31905567.472,346302.43614,71598.394259,228202.82406,0.0038502118,0.0069168279,0.0120595622,0.0144366147,
IV,1978,2,78,5663936.2431,10302378.244,1006015.2815,91712.208307,150908.30799,0.0045397389,0.0104199291,0.0159742232,0.0193549192,
IV,1978,3,47,6308362.0865,4864307.5036,948151.04968,22334.175825,76585.944797,0.0031765689,0.0091074979,0.0125172179,0.0168850766,
IV,1978,4,22,0,0,0,0,0,0.0038380539,0.0093228623,0.0149025376,0.0181446411,
IV,1979,1,86,4169242.1991,36077290.312,448735.58715,73600.932119,236898.57843,0.0049805103,0.0058928407,0.0066073801,0.0112484566,
IV,1979,2,55,1152175.0829,11464465.512,1808182.5811,44068.693366,156658.72577,0.0054429397,0.0106362432,0.0152952733,0.0179736762,
IV,1979,3,90,3953588.0077,6192948.7006,254361.747,20758.427354,64982.495558,0.0033698777,0.0077481575,0.0130968799,0.0165764022,
IV,1979,4,9,0,0,0,0,0,0.0033224782,0.012469779,0.0143797896,0.0176194834,
IV,1980,1,0,0,14287585.102,17032468.503,1137471.2434,201006.34472,0.0058192847,0.0051625045,0.006911098,0.0083786861,
IV,1980,2,0,0,9448241.0629,11263405.758,752198.66986,132923.54072,0.0056808557,0.005136837,0.0069394936,0.0082774858,
IV,1980,3,49,2612214.2716,3668992.9303,313466.47958,6380.77901,45124.130418,0.0033026365,0.0087710124,0.0134164421,0.017325314,
IV,1980,4,28,0,0,0,0,0,0.0068851512,0.0119992827,0.0166682126,0.0314127893,
IV,1981,1,61,555333.09171,12054686.024,1231606.4901,101151.45022,139579.6889,0.0067053765,0.0098075601,0.0129987622,0.0160110618,
IV,1981,2,32,555330.16316,3693713.3758,2644826.3351,150774.69903,92302.690679,0.0064852805,0.0122851207,0.015296802,0.0189951769,
IV,1981,3,29,419329.30278,3763076.3579,243929.25065,5362.6194075,40174.49457,0.0049563123,0.0090353219,0.0163082198,0.0219127228,
IV,1981,4,14,0,0,0,0,0,0.0069180574,0.0149793486,0.0206788367,0.0222905441,
IV,1982,1,27,608746.36552,6184530.8888,515484.26279,44558.213758,70822.232673,0.0084341919,0.0089603673,0.0181832694,0.02016238,
IV,1982,2,48,899798.26948,4923936.2314,908841.38169,40430.715553,77047.822756,0.0071880248,0.0111250643,0.0164039776,0.022062017,
IV,1982,3,13,2464874.0347,349951.55466,36643.071127,2850.5826702,10455.015169,0.002937138,0.007823783,0.0117076813,0.0169753407,
IV,1982,4,16,0,0,0,0,0,0.0055693618,0.0101806523,0.0152122866,0.0194044141,
IV,1983,1,11,5559451.5312,2596831.1759,883726.72449,105762.25786,62705.449467,0.00478595,0.009043886,0.0124923568,0.014870662,
IV,1983,2,44,2313687.5679,1315381.601,500360.91588,71153.771016,36689.108364,0.0042958326,0.0126753227,0.017163591,0.0209308472,
IV,1983,3,27,1659745.0681,520424.42442,5210.2464091,0,10971.597561,0.0035307932,0.0096546677,0.0166702569,0.0156978131,
IV,1983,4,8,0,0,0,0,0,0.0050064807,0.0121214297,0.017242908,0.0165640601,
IV,1984,1,9,134115.70901,6985776.8476,330637.10341,1850.7550283,60054.327677,0.0051394021,0.0079032103,0.0124722847,0.0168521357,
IV,1984,2,23,541419.17448,2419580.6439,177891.45021,3326.4903483,36066.719762,0.0053922263,0.0123861024,0.0175530051,0.0167028735,
IV,1984,3,29,1436410.5696,783066.86969,316.0829028,0,11215.836685,0.0031186949,0.0085968347,0.0133318629,0.0156978131,
IV,1984,4,7,0,0,0,0,0,0.0033081723,0.0100294576,0.0140753878,0.0165640601,
IV,1985,1,4,175571.0422,1597647.3503,703245.16858,16676.884715,36116.402867,0.0082118333,0.0135131186,0.0180901512,0.0218046283,
IV,1985,2,4,77526.22178,705466.9224,310529.23205,7363.9470768,15947.779448,0.0073144626,0.0135297487,0.0182777075,0.0217497674,
IV,1985,3,0,63692.394463,196220.24442,5659.6373259,0,4592.8647078,0.0102292134,0.0193162202,0.0266992648,0.0156978131,
IV,1985,4,4,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1986,1,4,130693.31492,229946.89358,345787.2703,3455.1863333,9633.2645907,0.0075259395,0.0123844345,0.0165791702,0.0199833954,
IV,1986,2,1,115353.12661,202956.77053,305200.32943,3049.6322385,8502.5557015,0.0067347834,0.0124575013,0.016829179,0.0200260745,
