div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,1962,3,,651810.07581,413185.59842,84832.744736,8390.0516772,11077.20005,0.0074977099,0.0110929439,0.01723476,0.01723476
IV,1962,4,,228027.1482,144547.5257,29677.615573,2935.1487929,3875.2121688,0.0074977099,0.0110929439,0.01723476,0.01723476
IV,1963,1,,0,1788176.749,1133533.9963,255747.56084,30389.207391,0.0057220959,0.0074977099,0.0110929439,0.01723476
IV,1963,2,,163001,1313678.8686,832747.46676,187884.20471,22658.72739,0.0030449935,0.0074429841,0.0110119765,0.0171089634
IV,1963,3,,678649.34298,430198.78768,88325.830723,8735.5217199,11533.338576,0.0074977246,0.0110929656,0.0172347937,0.0172347937
IV,1963,4,,237416.51142,150499.36531,30899.625581,3056.0069256,4034.7862089,0.0074977246,0.0110929656,0.0172347937,0.0172347937
IV,1964,1,,0,1861807.6351,1180208.0055,266278.26126,31640.578513,0.0057220959,0.0074977246,0.0110929656,0.0172347937
IV,1964,2,,169713,1367771.5953,867036.39842,195620.55463,23591.771702,0.0030449993,0.0074429983,0.0110119975,0.0171089962
IV,1964,3,,795585.72276,504325.37376,103545.09281,10240.723465,13520.631066,0.0074977298,0.0110929733,0.0172348056,0.0172348056
IV,1964,4,,278325.1598,176431.57265,36223.88346,3582.5818807,4730.0142455,0.0074977298,0.0110929733,0.0172348056,0.0172348056
IV,1965,1,,0,2182611.0765,1383566.994,312160.18067,37092.519741,0.0057220959,0.0074977298,0.0110929733,0.0172348056
IV,1965,2,,182417,1606434.0538,1018325.7836,229754.51278,27656.834947,0.0030450014,0.0074430035,0.0110120052,0.0171090081
IV,1965,3,,1173249.8639,743728.276,152698.01409,15102.001393,19938.858344,0.0074977258,0.0110929674,0.0172347965,0.0172347965
IV,1965,4,,410445.97273,260183.5168,53419.38393,5283.2357733,6975.3463091,0.0074977258,0.0110929674,0.0172347965,0.0172347965
IV,1966,1,,0,3218695.4533,2040345.2785,460342.81656,54700.294172,0.0057220959,0.0074977258,0.0110929674,0.0172347965
IV,1966,2,,256487,2371267.8638,1503157.1828,339142.40818,40785.501175,0.0030449998,0.0074429995,0.0110119992,0.0171089988
IV,1966,3,,801336.45816,507971.70037,104293.67639,10314.759204,13618.370568,0.0074977274,0.0110929698,0.0172348003,0.0172348003
IV,1966,4,,280336.97865,177707.19187,36485.76554,3608.4823062,4764.2071196,0.0074977274,0.0110929698,0.0172348003,0.0172348003
IV,1967,1,,0,2198387.6527,1393570.332,314416.95575,37360.658438,0.0057220959,0.0074977274,0.0110929698,0.0172348003
IV,1967,2,,170192,1620490.3793,1027237.991,231765.15354,27856.763875,0.0030450005,0.0074430012,0.0110120018,0.0171090028
IV,1967,3,,603885.05959,582728.02031,166284.28023,16445.698044,13390.311731,0.0046896481,0.0118093772,0.020120663,0.020120663
IV,1967,4,,211261.2141,203859.70328,58172.359737,5753.3103037,4684.4237468,0.0046896481,0.0118093772,0.020120663,0.020120663
IV,1968,1,,0,1656699.1869,1598656.9333,501301.69907,36735.001478,0.0057220959,0.0046896481,0.0118093772,0.020120663
IV,1968,2,,491005,1192930.8916,1151136.7036,360969.74489,27390.263044,0.0030219997,0.0045929996,0.0115659989,0.0197059982
