div,year,hy,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,1962,2,0,0,0,0,14952.412219,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,1963,1,0,0,0,0,53047.934781,0.0057482149,0.0057482149,0.0057482149,0.0057482149
IV,1963,2,0,0,0,0,15568.124785,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,1964,1,0,0,0,0,55232.350215,0.0057482149,0.0057482149,0.0057482149,0.0057482149
IV,1964,2,0,0,0,0,18250.645312,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,1965,1,0,0,0,0,64749.354688,0.0057482149,0.0057482149,0.0057482149,0.0057482149
IV,1965,2,0,0,0,0,26914.204653,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,1966,1,0,0,0,0,95485.795347,0.0057482149,0.0057482149,0.0057482149,0.0057482149
IV,1966,2,0,0,0,0,18382.577688,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,1967,1,0,0,0,0,65217.422312,0.0057482149,0.0057482149,0.0057482149,0.0057482149
IV,1967,2,0,0,0,0,18074.735478,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,1968,1,0,0,0,0,64125.264522,0.0057482149,0.0057482149,0.0057482149,0.0057482149
IV,1968,2,0,0,0,0,17063.25393,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,1969,1,0,0,0,0,60536.74607,0.0057482149,0.0057482149,0.0057482149,0.0057482149
IV,1969,2,0,0,0,0,17129.220118,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,1970,1,0,0,0,0,60770.779882,0.0057482149,0.0057482149,0.0057482149,0.0057482149
IV,1970,2,0,0,0,0,22670.3799,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,1971,1,0,0,0,0,80429.6201,0.0057482149,0.0057482149,0.0057482149,0.0057482149
IV,1971,2,0,0,0,0,29332.964875,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,1972,1,0,0,0,0,104067.03513,0.0057482149,0.0057482149,0.0057482149,0.0057482149
IV,1972,2,0,0,0,0,74453.837381,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,1973,1,0,0,0,0,264146.16262,0.0057482149,0.0057482149,0.0057482149,0.0057482149
IV,1973,2,14493486.398,789629.02074,90044.309814,10862.655683,84634.619043,0.0051341032,0.0110981585,0.0142974371,0.0159015415
IV,1974,1,2039891.4669,28137372.174,2499592.4924,398428.42057,300265.38096,0.0059038581,0.0087194813,0.0143806585,0.0173340125
