div,year,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,1962,0,0,0,0,14952.412219,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,1963,0,0,0,0,68616.059566,0.0053705714,0.0053705714,0.0053705714,0.0053705714
IV,1964,0,0,0,0,73482.995527,0.0053705714,0.0053705714,0.0053705714,0.0053705714
IV,1965,0,0,0,0,91663.559341,0.0053705714,0.0053705714,0.0053705714,0.0053705714
IV,1966,0,0,0,0,113868.37303,0.0053705714,0.0053705714,0.0053705714,0.0053705714
IV,1967,0,0,0,0,83292.15779,0.0053705714,0.0053705714,0.0053705714,0.0053705714
IV,1968,0,0,0,0,81188.518453,0.0053705714,0.0053705714,0.0053705714,0.0053705714
IV,1969,0,0,0,0,77665.966188,0.0053705714,0.0053705714,0.0053705714,0.0053705714
IV,1970,0,0,0,0,83441.159781,0.0053705714,0.0053705714,0.0053705714,0.0053705714
IV,1971,0,0,0,0,109762.58498,0.0053705714,0.0053705714,0.0053705714,0.0053705714
IV,1972,0,0,0,0,178520.87251,0.0053705714,0.0053705714,0.0053705714,0.0053705714
IV,1973,14493486.398,789629.02074,90044.309814,10862.655683,348780.78166,0.0051341032,0.0110981585,0.0142974371,0.0159015415
IV,1974,6609948.5043,41642309.747,3880701.9505,434483.95938,463377.77484,0.0056804355,0.0086408004,0.015040915,0.0175184362
IV,1975,9965573.1718,46646216.171,13824356.399,416544.55587,728276.93149,0.0057000382,0.0098218031,0.0148440168,0.0194769622
IV,1976,22503829.568,64079548.857,3569296.7735,209928.49881,612376.81522,0.0035485297,0.0075228468,0.0132396185,0.0152271601
IV,1977,31856231.456,18298629.745,9520311.9905,145661.76268,390046.44244,0.0029809947,0.0091274739,0.0131778893,0.0178966973
IV,1978,23462387.415,44928547.999,2287953.7754,178522.5871,460377.85857,0.0029761423,0.0079128852,0.0139647812,0.0172589177
IV,1979,16576040.6,50525127.929,2506282.921,132480.09481,460269.65281,0.0036438471,0.0072039556,0.0136502065,0.0143918455
IV,1980,4856347.0513,27157063.617,27273525.759,1816917.9391,380495.73899,0.0038710893,0.0057201122,0.0070016688,0.0084710315
IV,1981,1703083.2687,18960776.659,4160310.8771,255808.36031,270726.39929,0.0061469249,0.0102299517,0.0148260666,0.0180079974
IV,1982,4534532.3844,11465095.344,1473076.976,85754.79595,159776.243,0.0045897967,0.0098197164,0.0166908238,0.0208948307
IV,1983,10282168.958,4550977.4343,1427163.2507,180466.09672,115125.62367,0.004399656,0.0102110397,0.0142126295,0.0173650701
IV,1984,2960172.4894,10454278.997,516443.6951,5314.9666677,112842.59237,0.0036236594,0.0090529405,0.0142995411,0.0167567649
IV,1985,351094.88743,2675510.7355,1068351.3084,25153.254756,60695.417938,0.0085083354,0.0140958709,0.0182021354,0.0217966104
IV,1986,1125782.0055,567779.29159,753566.30583,7524.1907161,29242.569736,0.008192928,0.0128282522,0.0167004775,0.02001355
IV,1987,418326.87544,5002993.9775,367520.34431,33887.030298,57418.359287,0.0067019349,0.0098639101,0.0124428938,0.020440281
IV,1988,7197649.0393,2779611.0391,2983333.3311,44498.457109,98753.387432,0.0046769546,0.0102792906,0.0120288515,0.014183851
IV,1989,569158.70111,2388364.8207,3463311.2082,14294.560418,58126.415689,0.0048157627,0.0085322832,0.010042691,0.0158321056
IV,1990,368462.64334,5002007.8156,3864739.7577,408281.37264,78061.262621,0.0045437647,0.0070490701,0.0094152166,0.0115298137
IV,1991,2410220.3209,4815904.6929,2823947.2608,16167.430764,129058.83503,0.0057996994,0.0143754135,0.0161419011,0.0164726006
IV,1992,2298398.3277,12717747.313,1436858.1438,165822.79573,158978.63815,0.0041707682,0.010058119,0.0131312001,0.0157134312
IV,1993,10515292.901,10435577.115,5503681.0673,1169808.9656,226594.84315,0.0032385282,0.01031412,0.012629304,0.0131599721
IV,1994,7986482.1688,48123546.474,2184259.2695,212245.30982,423472.67407,0.0053084023,0.0073336291,0.0114595129,0.0146953115
IV,1995,3164698.4485,37324316.712,5122673.202,718971.16731,435780.10442,0.0071172935,0.0089923539,0.0130486415,0.0149907896
IV,1996,3163140.3806,1427528.4702,2749029.8743,927795.48234,86959.134168,0.0048467637,0.0106535736,0.0148015217,0.0169424443
IV,1997,965796.12273,7706676.4072,1116372.6606,414775.1621,125544.47503,0.0067043591,0.0121251741,0.0158202972,0.0191668047
IV,1998,7641436.0533,7779386.4431,2920904.8372,600202.48049,188918.75781,0.00491522,0.0124713615,0.0154431086,0.0153660124
IV,1999,2417571.5311,21791390.879,1117542.0586,192744.67139,243184.37539,0.0042622734,0.0099370138,0.0121251844,0.0144442468
IV,2000,3554971.8854,14048282.118,2666899.3232,209745.03149,228321.89965,0.0043149864,0.0121454024,0.014589426,0.0164315823
IV,2001,956742.10766,9992333.9738,1574925.589,374590.37551,147672.55576,0.0055404002,0.0114509682,0.0137988182,0.0166651481
IV,2002,2517171.1474,12234108.477,1109297.3664,161462.0266,173923.03838,0.0064638601,0.0113609092,0.0145291496,0.0157571706
IV,2003,4023106.1966,11079508.03,1381603.6478,239787.69379,174983.05288,0.0054883715,0.0115356088,0.0147668076,0.0185554539
IV,2004,33146535.215,8193687.4631,784286.55035,108265.35057,237653.55715,0.0040832949,0.0109111279,0.0142286946,0.0160745779
IV,2005,2368424.5811,26043427.742,697597.01671,110274.81555,274012.73267,0.006132763,0.0095623812,0.0124510313,0.0156955009
IV,2006,569070.55953,2836935.4936,2400191.0597,409085.98476,77719.723856,0.0065402579,0.0114721093,0.0144274516,0.016656746
IV,2007,1281416.3169,6416145.4793,1624047.7921,250521.00401,100297.51563,0.0058860081,0.0105740309,0.0129628228,0.0153943557
IV,2008,3695922.8347,2581429.9473,2361744.8347,483771.68141,72330.374631,0.0042594221,0.0084342887,0.0119036245,0.0137323618
IV,2009,625523.97889,16565896.976,1050568.2101,189779.79768,172262.23167,0.0052495712,0.0092526914,0.0122765241,0.0147700136
