"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 589041.493186197 270150082.014343 0.999964445510176 0 TRUE
1974 597448.268077746 265216977.336241 1.00423311842667 1 TRUE
1974 596003.164862533 270635579.501668 0.995586834272057 2 FALSE
1974 596301.878841601 271199312.512094 0.993537218176966 3 TRUE
1974 592920.73210237 279681798.098406 0.990467048265051 4 TRUE
1974 588580.608720778 282991761.141086 0.991948659724927 5 TRUE
1975 496404.587018972 499646196.114145 1.81717081068924 0 TRUE
1975 499910.112324903 502523429.948636 1.84688697956533 1 TRUE
1975 503479.629728942 505053691.77803 1.8426533312438 2 FALSE
1975 504615.042349294 506589429.459377 1.850413021409 3 TRUE
1975 509578.744282972 509701667.226388 1.86475233250936 4 TRUE
1975 506798.802959007 509569110.590815 1.85944105573826 5 TRUE
1976 380736.899254252 269196248.002549 1.86937703986313 0 TRUE
1976 381364.934233831 271598123.327282 1.86388067985708 1 TRUE
1976 384020.105129235 272367592.007038 1.87388967005252 2 FALSE
1976 384827.018581925 269925833.97125 1.87640765728566 3 TRUE
1976 387580.56128863 267923449.722708 1.89899549018019 4 TRUE
1976 386505.07952362 270249981.223612 1.90379650306246 5 TRUE
1977 310049.903415848 416127874.705871 2.01933965171985 0 TRUE
1977 315659.894484802 416459749.096402 2.03497176614858 1 TRUE
1977 315123.841860934 418498384.516011 2.01886742176121 2 FALSE
1977 313384.318231355 416755836.132464 2.02458553324843 3 TRUE
1977 310074.971760165 416624253.092874 2.01850212143471 4 TRUE
1977 308548.735813486 419278342.020914 2.0161062837994 5 TRUE
1978 316854.958824767 434309595.204938 1.508999909323 0 TRUE
1978 318545.151040908 436639648.901463 1.52052564776939 1 TRUE
1978 320317.64793718 439730353.207312 1.51899072048576 2 FALSE
1978 318661.343564001 435870034.749291 1.51734313424678 3 TRUE
1978 318316.451336195 438309006.400444 1.51955381924089 4 TRUE
1978 318595.003774067 436125890.661378 1.51412357134903 5 TRUE
1979 341140.64236185 323657811.851077 0.847459797338746 0 TRUE
1979 343617.127827741 324014178.715985 0.850327175210478 1 TRUE
1979 345596.498513797 325717198.699984 0.864197998444675 2 FALSE
1979 343115.644957091 322173239.768848 0.866912458809948 3 TRUE
1979 344330.282791124 325111145.179837 0.880191018624629 4 TRUE
1979 341924.058215682 328001795.967988 0.883615664916551 5 TRUE
1980 303164.841445075 180405634.676147 2.28986638586668 0 TRUE
1980 305196.675301947 178896696.960313 2.30121386919047 1 TRUE
1980 305128.999767 178890799.358872 2.28048782356208 2 FALSE
1980 301902.609708927 179124599.858569 2.28635608687314 3 TRUE
1980 302468.730042499 180469622.895361 2.28821890674755 4 TRUE
1980 301568.787081136 181626239.908138 2.28078411807232 5 TRUE
1981 228038.773537415 72387739.800527 1.43599005717559 0 TRUE
1981 228156.423759014 73556425.3895396 1.45191577530342 1 TRUE
1981 229017.255840819 72103050.8029219 1.43545791666757 2 FALSE
1981 228175.469451726 75341648.975154 1.42883585740284 3 TRUE
