"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 552833.181006259 263392262.17703 0.999932514547424 0 TRUE
1974 560529.298881212 260704902.204553 1.00263063773126 1 TRUE
1974 562492.219429111 263050834.444445 0.995930001182583 2 TRUE
1974 564263.666659858 264217918.577916 0.989839041388091 3 TRUE
1974 563731.918358035 271741661.998785 0.988218863973823 4 TRUE
1974 565686.189799352 273798542.628744 0.990721593483055 5 TRUE
1975 468729.582427067 488934509.466314 1.91372762369926 0 TRUE
1975 472700.126502631 489844318.629026 1.92026067985199 1 TRUE
1975 478104.134049523 492112635.286415 1.92611838351129 2 TRUE
1975 482909.814701952 492963355.351386 1.93078120298874 3 TRUE
1975 487939.625006688 496042899.433993 1.94045282591101 4 TRUE
1975 490687.243590516 497970943.456044 1.93845303757676 5 TRUE
1976 358290.196551195 253658774.312858 1.8762961020979 0 TRUE
1976 359321.530755582 254734304.369848 1.87485965526533 1 TRUE
1976 361537.45197652 254178209.431863 1.8830599422813 2 TRUE
1976 363443.34387224 250505933.831934 1.88940413937383 3 TRUE
1976 366222.69506522 248941917.598008 1.90983458670062 4 TRUE
1976 368616.71541133 250253580.297081 1.91589472602642 5 TRUE
1977 284566.252107816 395591922.859681 2.07204517978976 0 TRUE
1977 287864.077292114 396161979.066528 2.07641238417287 1 TRUE
1977 288355.039941285 397677089.839644 2.06566041944869 2 TRUE
1977 287239.78310781 393861321.720988 2.06388893282655 3 TRUE
1977 284514.724383311 395247267.831756 2.05723252504826 4 TRUE
1977 286363.997306368 397578442.358883 2.05903654058401 5 TRUE
1978 290877.320271095 405605803.193867 1.50003309045261 0 TRUE
1978 292473.189585175 407332911.366937 1.50460396332122 1 TRUE
1978 294424.908512199 410583152.206625 1.50766718083037 2 TRUE
1978 292790.119033593 408470054.255697 1.50844307870217 3 TRUE
1978 293572.139912855 410964034.866963 1.51006396907545 4 TRUE
1978 295787.377977356 412531995.782203 1.51526758795563 5 TRUE
1979 313067.968727035 290878513.471147 0.848439481020158 0 TRUE
1979 315209.280867476 290737692.725331 0.846988031334317 1 TRUE
1979 317939.555811775 290818505.412246 0.848352878756606 2 TRUE
1979 317223.624744854 287451949.900073 0.849654129798151 3 TRUE
1979 318776.638970134 290819940.965361 0.860473317526992 4 TRUE
1979 320415.767972112 292177737.099597 0.865512309091105 5 TRUE
1980 271550.098783322 164509365.303002 2.2828174954112 0 TRUE
1980 273274.495619918 164137201.516063 2.28751984817737 1 TRUE
1980 274677.397476241 165388391.674345 2.27106257270979 2 TRUE
1980 273164.446791769 164932330.263004 2.27373699686612 3 TRUE
1980 274305.305376543 165622390.844584 2.26698673134612 4 TRUE
1980 275476.8087393 166634980.888811 2.26707787397813 5 TRUE
1981 201064.830405648 72125683.6832284 1.34855154965382 0 TRUE
1981 201907.223833865 72500238.8720639 1.36245880686458 1 TRUE
1981 204605.282660853 72773994.4599604 1.36039056287837 2 TRUE
1981 204614.227567129 73109685.0199668 1.36023384285244 3 TRUE
1981 205918.499818276 74115678.0974438 1.33740932290481 4 TRUE
1981 207654.411919914 74600124.7870592 1.33393145584756 5 TRUE
1982 136732.271931647 45352044.190774 1.15020589076915 0 TRUE
1982 137238.224917326 45388834.9956955 1.14815654461971 1 TRUE
1982 138854.855840029 44911987.5764883 1.13867392965916 2 TRUE
1982 139836.670680666 44431616.2501649 1.15077616333877 3 TRUE
1982 142218.257780791 44613158.0045427 1.15565370132589 4 TRUE
1982 143802.961156712 45283790.5703022 1.14881537229247 5 TRUE
1983 84827.241377462 39647929.5652086 1.8724987097974 0 TRUE
1983 85468.5678170679 39817782.5828794 1.88724029248454 1 TRUE
1983 85714.6962931749 39729762.740009 1.86517169868782 2 TRUE
1983 85322.5179535726 39060206.6476897 1.84363247490433 3 TRUE
1983 85902.3298389532 40175401.8864837 1.84286735858105 4 TRUE
1983 87305.5823446175 40563869.6969668 1.8334423429027 5 TRUE
1984 51902.582276546 19048119.8163003 1.46328439534129 0 TRUE
1984 52189.7126686772 19145514.4400077 1.46521770387134 1 TRUE
1984 52488.0772863954 19004285.8920367 1.45519855893178 2 TRUE
1984 52285.9812050343 18617212.6004335 1.46322948122172 3 TRUE
1984 53358.7006718643 18968715.4345532 1.46414825968843 4 TRUE
1984 54249.0305135663 19129008.1425941 1.46641406862875 5 TRUE
1985 52694.3067634343 13843016.0064666 1.56178685933983 0 TRUE
1985 53282.228702999 13926990.4503533 1.56915797865421 1 TRUE
1985 53486.8434701023 13831132.2178228 1.55480911261483 2 TRUE
1985 52727.0616077012 13669187.0177025 1.55778057093548 3 TRUE
