"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 544275.545496577 266799735.174877 0.948630420617853 0 TRUE
1974 550269.922397837 263765970.34622 0.958492284516283 1 TRUE
1974 546260.313268248 265451788.839637 0.953227224951397 2 TRUE
1974 558614.837462852 269105940.538612 0.974967641549205 3 TRUE
1974 543186.899641225 267749742.144853 0.945731752705497 4 TRUE
1974 546544.097071185 270982586.511571 0.964455534038092 5 TRUE
1975 481751.21447727 496020765.111082 1.80505027086384 0 TRUE
1975 483514.800327005 494806784.454773 1.81434934212481 1 TRUE
1975 483813.974524243 494865079.757883 1.809246225434 2 TRUE
1975 492357.00102954 498123063.508978 1.86047295445041 3 TRUE
1975 484977.931722149 498912862.350098 1.81716009983754 4 TRUE
1975 493646.880994437 503780812.878598 1.87323711518267 5 TRUE
1976 373441.148052829 253499331.921198 1.83491571339404 0 TRUE
1976 372997.358160349 253368904.814544 1.84334930433705 1 TRUE
1976 373661.089389813 252830698.03872 1.84265797305274 2 TRUE
1976 376631.443462543 252583681.766321 1.89659100264079 3 TRUE
1976 376375.635730818 252487469.074347 1.84579575301554 4 TRUE
1976 381122.174014854 252400730.614143 1.89903032735166 5 TRUE
1977 292042.849940735 383940740.518 2.14182864457354 0 TRUE
1977 293670.87299362 383603856.882753 2.15313771959206 1 TRUE
1977 293329.316217885 384087293.634754 2.13649817201988 2 TRUE
1977 294019.748783302 384906879.833979 2.1779624709949 3 TRUE
1977 293222.537824573 384879642.553589 2.13090583479949 4 TRUE
1977 296818.221795998 386951659.127859 2.18216943270865 5 TRUE
1978 283132.969859266 422092121.477529 1.51062154304407 0 TRUE
1978 283821.531170359 421566154.347375 1.51958546611394 1 TRUE
1978 284731.225014513 425051461.467557 1.51174657547234 2 TRUE
1978 286563.684380323 418111167.66138 1.56393366585344 3 TRUE
1978 285661.077446197 425944868.861848 1.5133173293194 4 TRUE
1978 288991.899055705 429976999.207004 1.5692584764889 5 TRUE
1979 322571.342154744 309274532.510168 0.801782689234162 0 TRUE
1979 323111.807320645 305950160.747376 0.80765373912254 1 TRUE
1979 325824.993649424 306471427.010609 0.80363605063357 2 TRUE
1979 321743.028685545 301144011.172793 0.852884162981998 3 TRUE
1979 326565.152563951 307640732.353427 0.807774720873254 4 TRUE
1979 330405.023016277 308902514.880714 0.839058213272931 5 TRUE
1980 291133.923266189 169365033.225033 2.28764456038581 0 TRUE
1980 290013.89110896 167759429.470057 2.30219281469982 1 TRUE
1980 291766.883266295 168968323.187205 2.28694047792542 2 TRUE
1980 284222.508759587 163764849.618755 2.32714304248179 3 TRUE
1980 292046.335536297 168206993.981462 2.2751612229754 4 TRUE
1980 294119.095212065 165549921.754934 2.3184754588161 5 TRUE
1981 210136.26433159 71478876.2181757 1.35703407472503 0 TRUE
1981 209060.489201915 71745955.3023915 1.38258655032072 1 TRUE
1981 211060.242213282 71332543.2796408 1.3738563758536 2 TRUE
1981 206256.428960141 72069771.9534683 1.4587136243007 3 TRUE
1981 211038.047464272 72049193.909114 1.36798666624663 4 TRUE
1981 211249.872245138 72539157.7094867 1.47225486027886 5 TRUE
1982 138734.274599837 44343717.5436286 1.1695951684824 0 TRUE
1982 138064.401514238 44172814.6812968 1.18256124352705 1 TRUE
1982 138823.118122417 43556472.1971087 1.17265364975657 2 TRUE
1982 134609.252549759 42030853.8704512 1.27643056273852 3 TRUE
1982 139353.941483266 43393761.7007779 1.18226030887714 4 TRUE
1982 136190.886240805 42003328.2057119 1.26168649617343 5 TRUE
1983 83305.946154571 37758396.9544358 1.77830113555475 0 TRUE
1983 83167.1339187152 38089614.3206656 1.81711897667451 1 TRUE
1983 82743.9840996285 37534378.5641038 1.79025272967163 2 TRUE
1983 78689.704264628 38798597.9449942 1.94793433467683 3 TRUE
1983 82524.3698760812 38033084.4147369 1.78846624485785 4 TRUE
1983 79679.6147664029 39096555.7128403 1.93926169193115 5 TRUE
1984 51444.2476986197 19243166.707602 1.46740034298674 0 TRUE
1984 51446.609390668 19414913.7211779 1.47745844929805 1 TRUE
1984 51143.2132953613 19093902.9346543 1.46065913353898 2 TRUE
1984 50055.4868737038 19576884.6273628 1.5338046263644 3 TRUE
1984 51524.4002844855 19418183.3396602 1.4667855389679 4 TRUE
1984 50739.1663907347 20100842.1850591 1.52245608536647 5 TRUE
1985 52240.4105668076 14714491.1003039 1.52020464618063 0 TRUE
1985 52866.0600746035 14786744.8972737 1.54928557371127 1 TRUE
1985 52426.3601207232 14544829.531125 1.53296400047076 2 TRUE
1985 52906.866502824 14274222.0210039 1.65118339719658 3 TRUE
1985 52999.0749445322 14603660.8001343 1.52979012932291 4 TRUE
1985 54438.2261402533 14655250.7920416 1.6271656732316 5 TRUE
1986 27932.0403180249 53671090.4601434 0.7168147403778 0 TRUE
1986 28020.3203982413 53574746.5748393 0.739605479081787 1 TRUE
1986 27734.0021616912 53140808.6149917 0.72646161963101 2 TRUE
1986 26871.7127264193 51592132.7947377 0.772332312085077 3 TRUE
1986 27937.3604658954 53329128.1286159 0.71598909184638 4 TRUE
1986 27902.3102373673 52650008.314284 0.772015797356635 5 TRUE
1987 50720.5509897592 28333941.6121789 0.521401697484018 0 TRUE
1987 50547.7408349657 28710486.6832077 0.529412884717461 1 TRUE
1987 50206.5494870716 28150402.1213931 0.519400090941781 2 TRUE
1987 48568.4657660235 28892067.5851269 0.586689749310607 3 TRUE
1987 50511.3207877335 28206286.1872585 0.531807990260938 4 TRUE
1987 49729.8351011358 29417491.7238358 0.591011419982396 5 TRUE
1988 49614.516667998 37307431.6348435 1.30889396763511 0 TRUE
1988 49833.1903111033 38321752.9647381 1.33808954791078 1 TRUE
1988 49408.5516186411 37904703.2662395 1.31743936821364 2 TRUE
1988 48064.4095796998 40325746.5925765 1.41376646716556 3 TRUE
1988 49278.3899615216 38337453.1627183 1.30637453574317 4 TRUE
1988 49068.5161494475 42088092.3535016 1.39861250132526 5 TRUE
1989 33510.9203292767 40487440.6669269 0.345984504096132 0 TRUE
1989 34101.3046878307 40605695.6101265 0.34641274202833 1 TRUE
1989 33875.8917618645 39974620.9450828 0.346062543558308 2 TRUE
1989 34925.2189217929 40553947.966676 0.331569370888363 3 TRUE
1989 34272.2933173304 41262989.0361983 0.330835877183392 4 TRUE
1989 36471.50420976 42597315.4175333 0.31620653170307 5 TRUE
1990 38500.3803881761 49178716.1359126 1.37915388904524 0 TRUE
1990 38954.9216353537 50479369.2527285 1.41491225779351 1 TRUE
1990 38460.1917291013 50615279.3870241 1.392216674104 2 TRUE
1990 39808.2454460071 60165018.9541126 1.57736929756441 3 TRUE
1990 39574.9179724672 52992690.1083215 1.40683666793964 4 TRUE
1990 41971.3076977351 62272607.0642006 1.58128146667511 5 TRUE
1991 72654.542451969 94007379.4127538 0.776479903154447 0 TRUE
1991 74077.2875206328 94701925.1646864 0.782924538900039 1 TRUE
1991 74329.8255795671 95063746.5167431 0.76542487552633 2 TRUE
1991 84320.7508727456 105899702.873196 0.75365672243965 3 TRUE
1991 77385.2064942692 96626867.5782829 0.75262568744965 4 TRUE
1991 87606.764896808 109312504.422861 0.746196629520115 5 TRUE
1992 106964.991246868 126306274.595023 0.753952552992537 0 TRUE
