"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 589209.059710771 279294824.516114 0.924649043376185 0 TRUE
1974 595297.827661589 275102241.102321 0.922130398832786 1 TRUE
1974 595890.657661127 274591966.214389 0.915641084048088 2 TRUE
1974 600489.437350395 274202948.257343 0.920080147990433 3 TRUE
1974 599827.073319808 278832956.6674 0.918569437869708 4 TRUE
1974 608309.768150187 281702009.220763 0.920686820035613 5 TRUE
1975 483625.15743587 476091486.762274 1.70612217705662 0 TRUE
1975 484759.531330699 476189913.615642 1.70585584680913 1 TRUE
1975 482473.988429272 474227798.623498 1.68254290319967 2 TRUE
1975 485052.948410243 477080872.367438 1.69202846795038 3 TRUE
1975 486802.496033941 479354010.177258 1.68526550437424 4 TRUE
1975 494169.736650041 482673598.825653 1.68370541602896 5 TRUE
1976 353103.385253705 261581740.127378 1.96808424246581 0 TRUE
1976 353026.775948191 263032981.913314 1.95611366902113 1 TRUE
1976 351845.837489416 262971368.509542 1.94246819823449 2 TRUE
1976 354243.974710435 265236975.797889 1.94481497729833 3 TRUE
1976 356488.729721608 265187818.33655 1.94892017544614 4 TRUE
1976 360638.924451208 266045957.04918 1.95975541857639 5 TRUE
1977 259486.468544302 442493549.862704 1.97166635763514 0 TRUE
1977 262198.193307492 441786861.791652 1.97092427315139 1 TRUE
1977 260628.708992344 441112179.381789 1.95392438156431 2 TRUE
1977 264162.197349819 443223997.430891 1.96554566239318 3 TRUE
1977 263141.9078331 446186940.674366 1.95907235816586 4 TRUE
1977 265403.469082372 448471443.283117 1.96010299990206 5 TRUE
1978 309681.702684015 390432481.244819 1.54369325216724 0 TRUE
1978 309994.127191306 390488655.641836 1.54092367979403 1 TRUE
1978 308722.263924309 388161677.370923 1.52420087337674 2 TRUE
1978 311250.665289046 391315963.247424 1.53178256655967 3 TRUE
1978 312924.219789503 393651833.896085 1.5285112762414 4 TRUE
1978 315720.065481344 396225981.715727 1.53041980622899 5 TRUE
1979 292735.749534856 291791959.548505 1.21991309723928 0 TRUE
1979 293387.744558026 290922779.716664 1.21399050110104 1 TRUE
1979 291306.42895164 291611419.862044 1.20906809138012 2 TRUE
1979 294319.061998052 293050494.920611 1.20756432135645 3 TRUE
1979 295709.453032713 295883800.417595 1.21550689278835 4 TRUE
1979 298801.748725546 298848075.498734 1.21238126249425 5 TRUE
1980 223672.954214863 171739567.005846 2.04019229116954 0 TRUE
1980 224200.431970967 171056949.642728 2.04341726297848 1 TRUE
1980 223161.139300688 170662346.210629 2.01383541927236 2 TRUE
1980 225595.288609273 170979372.662163 2.03541024471164 3 TRUE
1980 226236.145347075 172871234.845648 2.01354580214679 4 TRUE
1980 229649.550058312 174595825.27625 2.01954809559842 5 TRUE
1981 202228.876933739 66486588.5168395 1.17684173191669 0 TRUE
1981 201896.678806931 66914873.4694897 1.1747215975422 1 TRUE
1981 201649.770068858 66714831.4305007 1.14453302311178 2 TRUE
1981 202244.510472289 66950564.290776 1.16322914605351 3 TRUE
1981 204828.945642627 67218896.2583104 1.14586210679099 4 TRUE
1981 207868.578544153 67951946.5007883 1.14714191115158 5 TRUE
1982 135219.606508659 46101651.2601244 1.23905711122515 0 TRUE
1982 135913.244350057 46345358.2287093 1.22446654829176 1 TRUE
1982 136658.208922195 46066535.6492405 1.20508008453444 2 TRUE
1982 136413.865703786 46157348.3926435 1.21743063555757 3 TRUE
1982 138249.660053028 46372922.9677917 1.20790343343105 4 TRUE
1982 140663.984277219 47073964.5733693 1.19138373044 5 TRUE
1983 77279.1194867771 45089009.62515 1.59123147692732 0 TRUE
1983 78282.5916645954 45010899.5764001 1.58956677128321 1 TRUE
1983 78257.163211754 45163710.0503329 1.56213919440942 2 TRUE
1983 78267.4174258802 44787169.0184981 1.57854910795058 3 TRUE
1983 78871.4293432505 45866350.277681 1.56095510493151 4 TRUE
1983 80842.634569202 46382730.8015489 1.55714744677961 5 TRUE
1984 57617.8481522829 20344061.5661947 1.63423051962709 0 TRUE
1984 57849.3928374827 20413090.020953 1.62574010325606 1 TRUE
1984 58080.5839854984 20560236.7075352 1.60902761949886 2 TRUE
1984 57715.5710773573 20410135.5083355 1.61417232170185 3 TRUE
1984 58960.4192933558 20795788.3353342 1.60969119176546 4 TRUE
1984 60129.941964416 21035665.5065485 1.59715247557753 5 TRUE
1985 50114.0888790539 13219418.6146373 1.46483647663442 0 TRUE
1985 50548.5155781974 13424607.1186332 1.45709052400641 1 TRUE
1985 50735.4235780892 13496092.7136309 1.41343419811715 2 TRUE
1985 50546.5325619833 13389204.9624242 1.4445750427112 3 TRUE
1985 51459.238131347 13532573.5999767 1.41502217070268 4 TRUE
1985 52749.6290183365 13824769.6802604 1.41512408375366 5 TRUE
1986 25365.6702568084 59072108.8331225 0.452754143413069 0 TRUE
1986 25791.9883014843 59069265.1167119 0.452402274150265 1 TRUE
1986 26210.8616623113 59380188.7645273 0.431728568500743 2 TRUE
1986 25830.7745774441 58682650.3157788 0.449975789890331 3 TRUE
1986 26378.9274674314 60281923.6663476 0.429803246790312 4 TRUE
1986 27036.8343683523 61836401.7552367 0.424890039811315 5 TRUE
1987 55954.9565456309 30202749.1505908 0.541855544708045 0 TRUE
1987 56119.7420530066 30256061.5387455 0.538913818791733 1 TRUE
1987 56654.5355720325 30256922.8170146 0.530218687522902 2 TRUE
1987 55832.4513062951 30002334.0964061 0.53531853115261 3 TRUE
1987 57483.5825763619 30664194.7421578 0.529447374992136 4 TRUE
1987 59053.4855920731 31157268.7122787 0.525537850296741 5 TRUE
1988 51836.3259681553 36459626.7139583 1.27928048615438 0 TRUE
1988 52064.4667573104 36821856.739114 1.27025745363036 1 TRUE
1988 52317.6340890392 36881184.1240639 1.23316261509051 2 TRUE
1988 51718.7229381845 36536450.1317183 1.2517793771464 3 TRUE
1988 53091.7233352919 37303179.6019251 1.23462468870572 4 TRUE
1988 54527.7880721037 37935942.6292017 1.233263657964 5 TRUE
1989 32656.693725328 32725407.4723042 0.443729696088287 0 TRUE
1989 33035.215919819 32919763.5078629 0.437351006847891 1 TRUE
1989 33382.6487345375 33048343.6435068 0.430005890738758 2 TRUE
1989 32952.3541574542 32943297.5362947 0.437661383139229 3 TRUE
1989 33833.5217308345 33414278.6119975 0.432936470934391 4 TRUE
1989 34545.915702625 33894006.2279376 0.427220223527334 5 TRUE
1990 31778.5860486129 44504151.2394555 1.24972027087147 0 TRUE
1990 32134.4968001846 44940459.6653515 1.24837651196 1 TRUE
1990 32317.3453465709 46025491.8285332 1.20220036290432 2 TRUE
1990 32065.1376183781 46117819.9990931 1.22684205292208 3 TRUE
1990 32666.9336195251 47232947.8096963 1.1947278720387 4 TRUE
1990 33331.7407582861 49089105.305602 1.19096613239547 5 TRUE
1991 64193.0007434938 95047957.2865024 0.474369740819849 0 TRUE
1991 64879.7724272176 95589046.8373654 0.473120758198714 1 TRUE
1991 66626.971326211 96302005.1657947 0.448135210561862 2 TRUE
1991 66520.4683925624 96847329.9024984 0.456466157319143 3 TRUE
1991 68347.6255172324 98802731.0748836 0.436458933653752 4 TRUE
1991 70984.5895515342 101696182.807819 0.422660812171468 5 TRUE
1992 110166.893468232 124237081.713408 0.827862544284881 0 TRUE
1992 110982.95727895 125341002.987224 0.820830793207203 1 TRUE
1992 112718.938509401 123070284.53815 0.804023631813415 2 TRUE
1992 113136.932833234 125145727.248236 0.806350959339754 3 TRUE
1992 116045.889164001 125336214.041558 0.797699541016446 4 TRUE
1992 120220.644314562 128827779.101881 0.777287043865037 5 TRUE
1993 176248.375448358 192524402.696031 1.39734867707123 0 TRUE
1993 178196.921962138 192408493.826771 1.39938286327277 1 TRUE
1993 176447.977257963 190581561.73064 1.37477727284474 2 TRUE
1993 179191.539994233 189957990.957766 1.42036635068356 3 TRUE
1993 180572.507703037 193718284.617635 1.39388075894618 4 TRUE
1993 187244.341944546 196065003.302959 1.43638926296736 5 TRUE
1994 171737.651183065 139019067.595604 0.861172116016935 0 TRUE
1994 172146.670584018 138313275.666833 0.854788923710382 1 TRUE
1994 170528.004085759 141157359.581716 0.817730817471367 2 TRUE
1994 169485.097186869 141011871.11241 0.819188532686689 3 TRUE
1994 173062.362565019 145767770.555327 0.804393282269784 4 TRUE
1994 174801.861398671 148172289.707037 0.775196065874983 5 TRUE
1995 221603.353966895 33200302.8464245 1.62925436553491 0 TRUE
1995 222007.489713046 33726216.1297437 1.61543676076257 1 TRUE
1995 225878.816032692 33203698.3381535 1.60924040101026 2 TRUE
1995 225812.765446189 34078059.3162882 1.62196833094585 3 TRUE
1995 232977.604983323 34181771.7801329 1.62165717855639 4 TRUE
1995 239917.843509136 35262562.4670374 1.63065518942683 5 TRUE
1996 92055.3604834956 61941668.0391439 1.13149510724138 0 TRUE
1996 93567.5745898265 62417066.8936727 1.13261194773508 1 TRUE
1996 93536.5168590386 62034412.5639481 1.09083722546311 2 TRUE
1996 94415.1509838256 62364478.0535393 1.12855277030477 3 TRUE
1996 95849.3348187438 63176375.891497 1.09790894513246 4 TRUE
1996 98648.0914011114 62980955.6070493 1.10496870783052 5 TRUE
1997 103601.638200521 54052369.5611888 0.82026789416249 0 TRUE
1997 104643.89393938 54658170.4754308 0.811281794290291 1 TRUE
1997 104802.532452161 54225818.6171818 0.800912173654504 2 TRUE
1997 104869.74118433 54630961.0527844 0.8278196457957 3 TRUE
1997 106928.817130252 54943407.0530009 0.822869313708816 4 TRUE
1997 107447.00170703 55622362.8760288 0.832744378326382 5 TRUE
1998 132142.847387823 89601257.6153775 1.55603710868424 0 TRUE
1998 134126.230014495 89937399.1521653 1.56573916899072 1 TRUE
1998 133349.943918599 91294639.7385981 1.53252763944818 2 TRUE
1998 133147.599150529 91358690.014292 1.54433275630498 3 TRUE
1998 134434.188888349 92576967.6689383 1.52056624346547 4 TRUE
1998 135442.950786685 94413530.521486 1.50616548409251 5 TRUE
1999 104486.678755099 60945149.9751934 0.802508480956505 0 TRUE
1999 104954.723783571 61015967.6523427 0.795952542038337 1 TRUE
1999 106417.48033261 62163534.7748143 0.780681376898007 2 TRUE
1999 106639.06031416 62675804.0930684 0.790609339917248 3 TRUE
1999 108361.027157587 62664684.8537228 0.785345260099766 4 TRUE
1999 111003.518531087 65195832.2887744 0.781218569003499 5 TRUE
2000 138705.13533557 59434411.3402135 1.39186398584784 0 TRUE
2000 139594.882180925 59092539.9545527 1.40058052842865 1 TRUE
2000 142220.835420591 59098669.2048241 1.37277136352879 2 TRUE
2000 142875.426006767 61252363.143322 1.34803226325776 3 TRUE
2000 143729.198706046 61648562.1295944 1.30045545906505 4 TRUE
2000 149244.874052506 63594857.6075811 1.25762976233541 5 TRUE
2001 96593.1092559966 57750734.5915855 1.22739893075515 0 TRUE
2001 96174.3095370543 57996247.6054956 1.20550260878916 1 TRUE
2001 97036.03586699 58972172.2044237 1.18219556382154 2 TRUE
2001 100824.750016048 59920761.1612494 1.25522738304219 3 TRUE
2001 102649.041373057 60625889.950355 1.24283633304918 4 TRUE
2001 107855.602420032 61635363.1634391 1.29185453609679 5 TRUE
