div,year,hy,ton,n_samples,n_tot,n0_prop,n1_prop,n2_prop,n3_prop
IV,1974,1,300265.38096,46,33075284.554,0.0616741925,0.8507068814,0.075572819,0.0120461071
IV,1974,2,163112.39389,127,19492159.608,0.2344561675,0.6928394721,0.0708546147,0.0018497457
IV,1975,1,578687.60611,113,54152339.41,0.0300306558,0.7505983884,0.2128680134,0.0065029425
IV,1975,2,149589.32537,51,16700350.887,0.4993513588,0.3592473909,0.1375453428,0.0038559075
IV,1976,1,530710.67463,124,70142966.602,0.1493293707,0.8003778487,0.0474129646,0.0028798161
IV,1976,2,81666.140589,69,20219637.096,0.5949377058,0.3926218909,0.0120482273,0.000392176
IV,1977,1,289733.85941,88,29626119.641,0.1963374587,0.5455975545,0.2540976353,0.0039673515
IV,1977,2,99583.846415,50,29975361.032,0.8623864853,0.0706975144,0.0659845614,0.0009314389
IV,1978,1,353302.01659,130,46327472.219,0.1335646708,0.8348611611,0.0282595893,0.0033145788
IV,1978,2,103378.52631,69,23933500.337,0.7122255289,0.246725157,0.0400637034,0.0009856107
IV,1979,1,366764.72269,141,50756978.972,0.0943050196,0.8600720527,0.0434711212,0.0021518065
IV,1979,2,87715.763569,99,18057344.68,0.636649374,0.3471780525,0.0149746489,0.0011979247
IV,1980,1,311196.61743,0,50250513.022,0,0.440193304,0.5247617797,0.0350449164
IV,1980,2,60910.211604,77,9508644.5177,0.4957093501,0.466687369,0.0356776228,0.0019256581
IV,1981,1,216096.2984,93,19381903.751,0.0541493785,0.7410040254,0.1924383928,0.0124082032
IV,1981,2,46750.784948,43,4969267.0708,0.1216571353,0.8146543069,0.0621180364,0.0015705214
IV,1982,1,141293.76505,75,13512836.779,0.1060944589,0.7865611505,0.1014628805,0.00588151
IV,1982,2,13834.994601,29,3502920.4582,0.8359050828,0.1457944575,0.0172035728,0.0010968868
IV,1983,1,96014.578399,55,12816233.822,0.5868804645,0.2936433047,0.1060023815,0.0134738494
IV,1983,2,14036.066524,35,2892803.8135,0.7947586121,0.2028166404,0.0024247475,0
IV,1984,1,93056.578476,32,10224881.763,0.065374164,0.8863990445,0.047733285,0.0004935064
IV,1984,2,13538.720548,36,2891346.612,0.7125127487,0.2867401489,0.0007471024,0
IV,1985,1,49741.298452,8,3433676.4781,0.0704216413,0.6408172283,0.2820720228,0.0066891076
IV,1985,2,5199.2783285,4,300636.80692,0.239830736,0.738858164,0.0213111,0
IV,1986,1,17529.406672,5,1291755.4386,0.1841055168,0.3239223957,0.4871048235,0.004867264
IV,1986,2,7412.3246457,1,815050.96591,0.9256170118,0.0737643129,0.0006186753,0
IV,1987,1,34561.087354,31,3782608.7791,0.0168907189,0.9087957989,0.073924389,0.0003890933
IV,1987,2,18499.838166,7,1572577.4421,0.2162344161,0.728951718,0.0347247951,0.0200890708
IV,1988,1,75649.968834,12,10086961.662,0.5090349417,0.2035642165,0.2836262462,0.0037745956
IV,1988,2,21025.082528,10,2644866.8079,0.7222361205,0.2523757139,0.0233079889,0.0020801768
IV,1989,1,50144.038472,13,5273689.8646,0.0028747119,0.3587749911,0.637620124,0.0007301729
IV,1989,2,6478.94731,9,989808.45697,0.5358502064,0.435820013,0.0183119673,0.0100178133
IV,1990,1,72462.01769,4,8816231.4267,0.000374329,0.5356641361,0.4196619128,0.0442996222
IV,1990,2,2313.856658,14,420896.2165,0.8277977205,0.1645005826,0.0063131472,0.0013885497
IV,1991,1,117955.68934,34,8810496.2606,0.1810687622,0.5114438246,0.305756481,0.0017309321
IV,1991,2,5221.8583956,23,796146.34835,0.8839067923,0.1137995841,0.0020658248,0.0002277988
IV,1992,1,123159.3716,75,11839255.588,0.0240394623,0.8680101063,0.0950614219,0.0128890096
IV,1992,2,28691.707821,28,4050708.4343,0.4774912627,0.4602472342,0.0609249373,0.0013365658
IV,1993,1,173667.90218,51,15517054.419,0.1048139683,0.5011658452,0.3230268325,0.070993354
IV,1993,2,46825.121201,31,11525846.873,0.7626762246,0.2068661611,0.027784385,0.0026732293
IV,1994,1,367229.5948,92,49193872.331,0.0731398016,0.8898036637,0.0331047606,0.0039517741
IV,1994,2,53829.131629,37,8969687.1279,0.4819010688,0.4558534495,0.0603841158,0.0018613659
IV,1995,1,354321.74237,87,37925077.211,0.023656263,0.8389563932,0.1210705572,0.0163167867
IV,1995,2,76441.948204,45,7872961.8418,0.2827968174,0.6454064305,0.0601144227,0.0116823295
IV,1996,1,76029.310796,14,5745728.6684,0.2185463508,0.1952070325,0.4372923482,0.1489542685
IV,1996,2,9676.3018503,11,2394035.0891,0.7740589931,0.1188846788,0.0824835233,0.0245728049
IV,1997,1,107204.14115,43,8232323.1359,0.0251340581,0.8178654904,0.1119272281,0.0450732234
IV,1997,2,15916.893089,13,1774924.1103,0.417483757,0.464690696,0.0977173899,0.0201081571
IV,1998,1,163448.47591,63,14913441.406,0.374435909,0.438164616,0.1626358259,0.0247636491
IV,1998,2,22021.437745,19,3682642.7629,0.520760598,0.2994641987,0.1200546924,0.0597205109
IV,1999,1,189145.77226,66,18791932.829,0.0070746393,0.96179771,0.0284715404,0.0026561103
IV,1999,2,49592.162455,25,6260712.7223,0.3578531849,0.5301182062,0.0897776766,0.0222509323
IV,2000,1,162457.87054,51,12612747.293,0.0079291185,0.8638162652,0.1219238607,0.0063307555
IV,2000,2,61674.061447,35,7490855.5518,0.4524380823,0.3865510022,0.1441862354,0.01682468
IV,2001,1,133934.82955,32,11682403.233,0.0567685926,0.7848759838,0.1278179385,0.0305374852
IV,2001,2,11016.854713,21,978552.64631,0.282235438,0.6528529065,0.0537568571,0.0111547984
IV,2002,1,147498.37529,63,12910202.376,0.0900192801,0.8381709922,0.0637375143,0.0080722134
IV,2002,2,23585.477549,33,2855017.0395,0.4625900599,0.4239295751,0.094271809,0.019208556
IV,2003,1,167406.59245,71,15557711.094,0.1991691582,0.7016750056,0.0856423104,0.0135135258
IV,2003,2,5712.0641892,19,984731.58308,0.8894820773,0.0481529228,0.0351016495,0.0272633504
IV,2004,1,206704.67581,69,34385240.488,0.751409944,0.2246617641,0.0212414791,0.0026868127
IV,2004,2,26627.545105,37,7074786.9944,0.9470634781,0.0453550179,0.0056158797,0.0019656243
IV,2005,1,216420.67489,133,21912425.3,0.0479017136,0.9257046738,0.022760803,0.0036328096
IV,2005,2,52206.344853,58,6734897.6012,0.1891011172,0.7791622465,0.0275025728,0.0042340636
IV,2006,1,71676.629147,30,5582358.2955,0.0649190254,0.4733862502,0.3916605275,0.070034197
IV,2006,2,4573.124247,13,513975.21457,0.3782121501,0.2741603804,0.3271591787,0.0204682908
IV,2007,1,92189.378753,74,8459874.5128,0.0887323417,0.7003529019,0.1845417271,0.0263730294
IV,2007,2,5405.1971593,17,857869.58532,0.5836910818,0.3707415091,0.0213997136,0.0241676955
IV,2008,1,63584.552841,19,7285294.878,0.3072008063,0.3233319486,0.3072132798,0.0622539653
IV,2008,2,7562.3903345,19,1694534.9583,0.8297089606,0.1079318427,0.0493299739,0.0130292228
IV,2009,1,133469.43467,69,13717647.406,0.0214515239,0.9283772855,0.0416477335,0.0085234571
IV,2009,2,37318.212394,23,4557259.9934,0.0715813289,0.8094999378,0.1032772111,0.0156415222
IV,2010,1,115756.18761,63,10658955.994,0.0418112757,0.4813455216,0.3060059053,0.1708372974
IV,2010,2,28712.194417,18,3832692.1492,0.1174490666,0.7107245466,0.1498846188,0.0219417679
IV,2011,1,113815.84558,85,11456901.229,0.0433131291,0.5939918354,0.2886940916,0.0740009439
IV,2011,2,8355.574049,23,857955.7618,0.1672283606,0.5790125943,0.1802276957,0.0735313494
IV,2012,1,86401.499951,125,8916971.997,0.0236704334,0.734083827,0.2136356398,0.0286100998
IV,2012,2,5337.0976911,18,701350.4834,0.1643926886,0.6793839983,0.1119158865,0.0443074266
IV,2013,1,58687.843309,54,5907422.2086,0.085500329,0.7687946342,0.1340061456,0.0116988912
IV,2013,2,13562.837115,10,5930022.1143,0.9767590426,0.0078321778,0.0074465514,0.0079622282
IV,2014,1,144510.35788,132,16524669.144,0.0806357308,0.8700027331,0.0462744836,0.0030870525
IV,2014,2,49689.706067,32,6821132.4567,0.6552257195,0.3242057663,0.0186094996,0.0019590146
IV,2015,1,253070.39993,212,28736233.182,0.0153051618,0.8540500631,0.1216294403,0.0090153347
IV,2015,2,35566.097994,24,4312417.0355,0.1529065915,0.6349216057,0.1906884557,0.0214833471
IV,2016,1,212544.24301,120,26400515.088,0.2767246362,0.5368002786,0.1688160873,0.0176589979
IV,2016,2,6137.8815648,3,739216.30439,0.9281062648,0.0601488992,0.0098502797,0.0018945562
IV,2017,1,123908.06844,90,15792343.423,0.1409349568,0.8063843304,0.045503274,0.0071774388
IV,2017,2,21669.408379,17,3710504.6954,0.7192218839,0.2457890847,0.0251575703,0.0098314611
IV,2018,1,168584.34062,129,25128693.93,0.2991059904,0.5501990149,0.1334477995,0.0172471952
IV,2018,2,14409.580642,25,2174801.5969,0.3055657705,0.5840424683,0.1048980028,0.0054937584
IV,2019,1,130518.36936,110,19289353.228,0.1961373889,0.6185295323,0.1748560835,0.0104769952
IV,2019,2,21259.347124,14,3235387.9302,0.9305129298,0.0669677376,0.0023677269,0.0001516057
IV,2020,1,160531.86288,58,15517788.396,0.0433355122,0.744494054,0.1896514492,0.0225189845
IV,2020,2,1151.0247384,6,165534.94122,0.287972118,0.644711855,0.0554117929,0.011904234
IV,2021,1,79228.811262,107,9643736.0334,0.1148706844,0.6910374485,0.1642438657,0.0298480013
