"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 510514.958373636 248598180.193471 0.999464791179303 0 TRUE
1974 518995.691800628 243274187.23862 1.020713160163 1 TRUE
1974 531490.13374505 256757214.136617 1.03815213519912 2 TRUE
1974 531938.194321 251102213.346101 1.05023175400408 3 TRUE
1974 529738.242400559 257609474.961347 1.04391571829934 4 TRUE
1974 533812.579361272 260937378.766373 1.06004928954808 5 TRUE
1975 485087.509498736 348043673.239684 1.8785289529626 0 TRUE
1975 486320.787032009 342280194.687104 1.89432436457092 1 TRUE
1975 506739.970093886 359769325.59175 1.97285362737163 2 TRUE
1975 499861.600921254 353775039.915449 1.97204670913984 3 TRUE
1975 504142.341440004 364277118.643308 1.97598128910035 4 TRUE
1975 508633.020078485 366076451.933178 2.00021688620533 5 TRUE
1976 309604.598680405 254763725.768485 1.64932948107941 0 TRUE
1976 306286.606024528 260659333.59769 1.65679979594806 1 TRUE
1976 320100.419608181 262856322.601508 1.70389282876381 2 TRUE
1976 314928.971116572 265017647.951914 1.69473238285906 3 TRUE
1976 322374.333404663 263463938.558652 1.70292310763174 4 TRUE
1976 323505.298967518 266946339.583692 1.73554516422973 5 TRUE
1977 312561.96902245 398216203.813996 1.49579129055233 0 TRUE
1977 319125.243035308 400355930.303637 1.51181420382488 1 TRUE
1977 325796.891188682 402588396.310265 1.54128697251327 2 TRUE
1977 327066.036920355 402587918.852194 1.5488679601728 3 TRUE
1977 326509.488436599 406516128.824644 1.55321622399777 4 TRUE
1977 328228.382181722 412719365.566397 1.58183152713388 5 TRUE
1978 390656.592048321 479915031.483856 1.54117884013396 0 TRUE
1978 396531.776487893 483294842.055285 1.57085927736784 1 TRUE
1978 400031.45766578 486585936.098049 1.61949647717378 2 TRUE
1978 400758.177379939 485873184.285026 1.63280890066581 3 TRUE
1978 401307.203744045 488162061.445876 1.61737215022272 4 TRUE
1978 405382.672028146 492054957.544736 1.65099238922623 5 TRUE
1979 510629.825815097 282021294.779118 0.989513510337627 0 TRUE
1979 516185.72682522 286706113.758663 1.00606009412967 1 TRUE
1979 518974.920930059 286592727.610632 1.08392612260746 2 TRUE
1979 517771.609794064 288952308.589581 1.07726464431227 3 TRUE
1979 520152.533472773 288069921.128282 1.09876707087622 4 TRUE
1979 522694.569332246 291192032.986988 1.12811467421495 5 TRUE
1980 282222.921856196 178860858.75579 2.31042220797786 0 TRUE
1980 286821.995426638 179397738.709746 2.34361162852343 1 TRUE
1980 282467.721163092 173303315.530091 2.36974521284675 2 TRUE
1980 284452.461958385 173287148.746264 2.39779775988986 3 TRUE
1980 281445.030793626 174705453.715254 2.3616994003407 4 TRUE
1980 281980.979497183 177375409.170816 2.39356268344485 5 TRUE
1981 239207.753243633 75492351.527408 1.4178907595899 0 TRUE
1981 242393.353615209 75879726.8312486 1.45843058915521 1 TRUE
1981 237888.368002582 77205953.7912068 1.55303930575807 2 TRUE
1981 237403.919757481 75874892.7856748 1.57671312386797 3 TRUE
1981 238999.401249849 78393076.8450938 1.51385227027517 4 TRUE
1981 241232.110749868 78238625.0656599 1.52764901846518 5 TRUE
1982 153567.295949014 45019713.3747342 1.18253848846498 0 TRUE
1982 154358.074642832 45414501.1204018 1.18822841540783 1 TRUE
1982 150104.872828261 41712233.3460056 1.29296378055814 2 TRUE
1982 147764.418202072 41551325.3149256 1.29815988464344 3 TRUE
1982 153285.735163503 42708178.6070878 1.27835299588392 4 TRUE
1982 153986.908599904 44009313.0747619 1.2974393744863 5 TRUE
1983 100949.746742112 39536660.8679957 1.73855586127868 0 TRUE
1983 102375.64996475 38965819.5652182 1.76598693582431 1 TRUE
1983 95212.4463444275 42960984.7782096 1.90341216915837 2 TRUE
1983 94164.6402888855 41329831.9713823 1.90780457943021 3 TRUE
1983 97477.2319390398 44365917.9619839 1.87519109722766 4 TRUE
1983 98583.5315534031 44152994.5746712 1.87281770242072 5 TRUE
1984 64334.359556524 18129962.9964543 1.52353509686071 0 TRUE
1984 64269.6835583649 17850953.7418557 1.54493608660866 1 TRUE
1984 65098.0642715473 19462611.546701 1.61455754097633 2 TRUE
1984 63283.7180513397 18963123.5220684 1.61678300791264 3 TRUE
1984 67343.2336220601 20052498.3092117 1.61529184212062 4 TRUE
1984 67845.5836474887 19903511.3156169 1.64619105052403 5 TRUE
1985 53468.3904817485 13655027.941076 1.6221505603061 0 TRUE
1985 53143.0299225831 13508316.8664136 1.62592482245716 1 TRUE
1985 57060.0368090748 13466263.6042164 1.75311668847619 2 TRUE
1985 55356.3425256068 13192758.2782186 1.76731116136651 3 TRUE
1985 58622.6725157489 13681844.6101783 1.71353960385487 4 TRUE
1985 57966.1267080078 13578999.4735704 1.7339966075822 5 TRUE
1986 26024.4584100767 57826797.1414612 0.701177762916917 0 TRUE
1986 25977.8431616883 58026425.0097528 0.740044121994317 1 TRUE
1986 26014.6273929984 56994200.9642115 0.720945334790162 2 TRUE
1986 25356.0063910732 55488568.0540589 0.764371265166822 3 TRUE
1986 26798.1269860249 59051359.9325893 0.683291484313894 4 TRUE
1986 26489.1444950182 60137077.7821617 0.718979262460529 5 TRUE
1987 55495.8367410912 30765140.7347309 0.456758148707231 0 TRUE
1987 55427.2026730847 29866191.7511398 0.449443457447018 1 TRUE
1987 54858.9319891333 31640993.6767579 0.543101218951614 2 TRUE
1987 53132.0051865767 30709558.3300001 0.538381585812163 3 TRUE
1987 57028.5811093092 32404665.945108 0.532802441419954 4 TRUE
1987 57552.4340042367 32268507.6740864 0.533748264895981 5 TRUE
