"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 528764.879044342 193712864.607586 1.09817626079501 0 TRUE
1974 526824.821872532 189687091.457311 1.10038607483574 1 TRUE
1974 528290.714376498 193165088.809698 1.09259994717372 2 TRUE
1974 529508.605505545 190792821.91104 1.09158425854591 3 TRUE
1974 535986.964290583 196194673.43217 1.09656288802548 4 TRUE
1974 550701.681367142 210153326.92631 1.16222264525494 5 TRUE
1975 425978.520628052 286284306.152697 1.6971998554218 0 TRUE
1975 421256.447513537 281690546.598464 1.68212202165335 1 TRUE
1975 425937.334552755 284799543.22344 1.68290480671587 2 TRUE
1975 421979.335454899 284005105.61296 1.6638718410031 3 TRUE
1975 429599.933985277 292094006.35323 1.67744855099411 4 TRUE
1975 442233.09934212 308247484.140603 1.81844407567941 5 TRUE
1976 259183.701040743 274642735.396732 1.44781286086124 0 TRUE
1976 255759.718827272 273578378.611414 1.45156963761245 1 TRUE
1976 258875.843547734 276003152.343437 1.45538008029165 2 TRUE
1976 258011.962678969 276769212.256471 1.43355510180446 3 TRUE
1976 264901.806132002 281100644.248929 1.44546433124674 4 TRUE
1976 274362.102467351 295416364.807144 1.52272786187608 5 TRUE
1977 321129.247823138 369404201.958933 1.72071563887523 0 TRUE
1977 318673.65503645 367386323.522085 1.70123348485682 1 TRUE
1977 321428.240536958 371004730.637537 1.68024336654808 2 TRUE
1977 322322.290238033 372012248.893983 1.67463085768188 3 TRUE
1977 328138.607338176 378481444.612937 1.70013469315969 4 TRUE
1977 342394.831948566 395388257.856456 1.77932634798279 5 TRUE
1978 353397.13533657 464326310.826634 1.5466097052842 0 TRUE
1978 353041.021819449 458012959.682048 1.54701047176773 1 TRUE
1978 357992.314256669 462624319.690659 1.53988229560364 2 TRUE
1978 358144.695789465 460709172.771088 1.5278085636035 3 TRUE
1978 363044.789050308 471698114.067493 1.54024644712609 4 TRUE
1978 378182.852045058 489100436.421063 1.66857582329557 5 TRUE
1979 478126.515320746 359253735.755086 0.855801473003983 0 TRUE
1979 472981.866597287 351485237.534505 0.866409008444221 1 TRUE
1979 478681.552867101 353781105.823269 0.863834451623055 2 TRUE
1979 477002.516037022 355591928.162161 0.855723121869701 3 TRUE
1979 486920.857773882 366476573.468734 0.86124997588701 4 TRUE
1979 497920.124584841 379467609.209404 0.947564444175352 5 TRUE
1980 327282.287255219 176051661.957606 2.62685937687138 0 TRUE
1980 320411.823004082 173874629.924338 2.60875408153985 1 TRUE
1980 323372.012337059 174909008.031716 2.59142488969387 2 TRUE
1980 323693.635806263 173597274.223783 2.58085557121494 3 TRUE
1980 332292.146195198 176283044.121528 2.59279319306498 4 TRUE
1980 336898.121681061 175464743.676474 2.70783256413152 5 TRUE
1981 229171.897860522 67662821.4569187 1.56157372775231 0 TRUE
1981 226868.196672728 67879963.1702222 1.55061453286129 1 TRUE
