"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 507414.149185478 247311772.711653 1.03744516434057 0 TRUE
1974 513821.286956474 244242678.453021 1.04443941238482 1 TRUE
1974 538968.07497776 253306720.47108 1.07844004198055 2 TRUE
1974 541499.159477244 249024294.409675 1.0827898839239 3 TRUE
1974 538792.533465865 256415064.20436 1.0743358110621 4 TRUE
1974 543468.300625247 260764186.141581 1.07893482181232 5 TRUE
1975 472850.205618061 348810075.15721 1.930582600112 0 TRUE
1975 475009.102031762 345886675.615633 1.9314018137541 1 TRUE
1975 504165.905742016 356767827.996278 2.03593711850223 2 TRUE
1975 500149.347053724 352883299.57365 2.02427601269291 3 TRUE
1975 506541.98951634 363173831.463593 2.02522748113355 4 TRUE
1975 514292.719543863 365911907.258152 2.03326250241516 5 TRUE
1976 301173.818080777 254073898.946205 1.68448570954464 0 TRUE
1976 300033.787120609 257237866.289234 1.68437093237871 1 TRUE
1976 311487.23797725 263442493.96132 1.73617045626645 2 TRUE
1976 308524.0135005 265457760.182006 1.71814767156138 3 TRUE
1976 317531.05183354 264901316.370469 1.73586675194497 4 TRUE
1976 321597.271303604 268303848.04435 1.75744910496795 5 TRUE
1977 303148.547319399 395878222.585624 1.56538736048588 0 TRUE
1977 307083.167313853 396958525.763053 1.56341515001873 1 TRUE
1977 321089.916573803 399359842.997776 1.61443782029697 2 TRUE
1977 323060.781455306 400262028.09276 1.60966856465075 3 TRUE
1977 324306.115809816 405957971.522576 1.61332901316539 4 TRUE
1977 328242.645303815 411936816.603844 1.62277984895099 5 TRUE
1978 376848.787167673 464705561.086103 1.5948191364953 0 TRUE
1978 380683.20482586 466272634.7127 1.60332612350505 1 TRUE
1978 389866.626569063 476942371.207964 1.67908003785403 2 TRUE
1978 391776.273074415 476749897.029203 1.67781326471627 3 TRUE
1978 395638.386273139 481578146.591974 1.66837873351698 4 TRUE
1978 402224.205971099 486809723.408724 1.6857916691808 5 TRUE
1979 483212.316947294 278962949.27551 1.05030278164221 0 TRUE
1979 486829.754879439 280912017.155285 1.05907771792723 1 TRUE
1979 501331.355608613 286090348.063588 1.12949020228496 2 TRUE
1979 501781.517313742 288269767.074841 1.1205962846141 3 TRUE
1979 508432.428299906 287590705.914229 1.13997816824734 4 TRUE
1979 515317.98752953 289852271.609565 1.15773076452335 5 TRUE
1980 266106.017832777 175667350.976174 2.34935291122199 0 TRUE
1980 268288.829012853 175085633.364093 2.35519828646646 1 TRUE
1980 274360.988877604 169386418.707519 2.43187597186159 2 TRUE
1980 276260.334127788 169339061.957943 2.44069675606863 3 TRUE
1980 275508.538808257 170533013.341704 2.40525924283323 4 TRUE
1980 277838.649467879 172703228.473415 2.42044452513222 5 TRUE
1981 227761.755620981 73385406.6494257 1.38563856657487 0 TRUE
1981 229093.73472563 73992733.5137142 1.40426666045504 1 TRUE
1981 229320.766698761 73468284.5184164 1.57950466929049 2 TRUE
1981 229362.842098428 72906091.6896132 1.58382493057045 3 TRUE
1981 232161.386773134 74467830.6809428 1.53051712709978 4 TRUE
1981 235559.244539639 74743198.6989694 1.53996239357796 5 TRUE
1982 148320.910943993 44977309.1724449 1.18697146278772 0 TRUE
1982 148989.703120647 45071774.4105972 1.18565101626033 1 TRUE
1982 142728.043311782 40103523.0997159 1.28771015505324 2 TRUE
1982 141910.979859363 40269854.8821818 1.28093838451072 3 TRUE
1982 146767.565509616 40537810.4103887 1.27512140122802 4 TRUE
1982 148525.496489878 41602585.1535248 1.29107030776223 5 TRUE
1983 98138.9623169237 38487335.8950268 1.73292459164001 0 TRUE
1983 99106.9423041885 38884879.1198446 1.74722420489447 1 TRUE
1983 91035.0314585373 40575454.3930788 1.921850637585 2 TRUE
1983 91125.2492905258 39818442.2411067 1.91330656669963 3 TRUE
1983 92797.724922107 41651043.6202775 1.87891416817109 4 TRUE
1983 94216.5404358145 41616638.388509 1.87243207694997 5 TRUE
1984 62125.2575339305 17138040.897962 1.54524498114879 0 TRUE
1984 62804.0039275439 17268548.4127149 1.55435305513522 1 TRUE
1984 61283.3262398926 18110266.4650237 1.61811742234789 2 TRUE
1984 60691.3298041895 17918187.2489357 1.61501025461778 3 TRUE
1984 63342.7744106478 18606621.6652178 1.61367893088196 4 TRUE
1984 64208.8118163904 18482104.9206202 1.63680219224985 5 TRUE
1985 49885.6325846046 12761346.2796453 1.61832792368696 0 TRUE
1985 50595.9455756485 12798438.0049664 1.62223428989275 1 TRUE
1985 53327.1171938616 12440485.4642725 1.76386963179949 2 TRUE
1985 52637.816090186 12343669.8796702 1.76260585883552 3 TRUE
1985 54891.3310449221 12533347.6170782 1.71158080854915 4 TRUE
1985 54720.1490458463 12473746.523541 1.73010606995099 5 TRUE
1986 24031.1516109097 57348703.0334995 0.605767188040145 0 TRUE
1986 24275.8049111862 57732312.2862663 0.61566986738553 1 TRUE
1986 23954.58350976 54816747.8654952 0.662545687197612 2 TRUE
1986 23746.5106906463 54277486.2241114 0.681838718251305 3 TRUE
1986 24711.9685712102 56265703.4767921 0.627907593344706 4 TRUE
1986 24573.9366893139 57278304.2998128 0.658515131838732 5 TRUE
1987 55022.3515366197 30405718.027488 0.438028682839102 0 TRUE
1987 55362.7831919112 30251460.4876451 0.438535747870977 1 TRUE
1987 52713.8377878744 30841823.8133914 0.525437248294885 2 TRUE
1987 52071.1822845322 30359457.5427574 0.518704369567781 3 TRUE
1987 54381.8871841155 31393344.1567363 0.516325621486599 4 TRUE
1987 54991.6681113087 31271221.6120442 0.517467381888519 5 TRUE
1988 55407.7221514124 40782297.0333713 1.30609475063712 0 TRUE
1988 55639.6608103339 41408326.3644823 1.31281997352344 1 TRUE
1988 53354.5886845113 47854186.5304871 1.39891623448343 2 TRUE
1988 52775.2998679962 46750059.7296854 1.39982101617936 3 TRUE
1988 54813.9034042106 49124696.0156655 1.3553652675953 4 TRUE
1988 55280.5020553461 48458620.8743379 1.38324107267228 5 TRUE
1989 36864.953951744 35375055.7436236 0.635014802292685 0 TRUE
1989 37310.33105917 35178375.3523933 0.634645204293883 1 TRUE
1989 41301.0380124515 34377753.3681975 0.637680615212998 2 TRUE
1989 40435.4053177744 33959307.5716423 0.64898680696773 3 TRUE
1989 42788.4190756389 35742107.4828113 0.625192219475585 4 TRUE
1989 42199.2505535803 35346033.8476243 0.647485799514973 5 TRUE
1990 33570.793020624 51971010.7137246 1.35313260044486 0 TRUE
1990 33748.5119627725 52044014.4516249 1.35897039658476 1 TRUE
1990 35608.622761132 63685203.5492865 1.6362560114581 2 TRUE
1990 34886.6126486821 63413131.8785841 1.62370513314495 3 TRUE
1990 37042.552586914 65354559.703182 1.5899023519836 4 TRUE
1990 36410.0973481962 65538447.8242947 1.59574793247951 5 TRUE
1991 74747.016063977 111584273.623937 0.689694308026288 0 TRUE
1991 74944.5307109197 112802975.519282 0.696648687149995 1 TRUE
1991 86639.5249364737 135891341.429983 0.71659029379632 2 TRUE
1991 86330.137989292 136315357.692151 0.707496721276636 3 TRUE
1991 89724.6363151691 140198836.209935 0.673825711889503 4 TRUE
1991 89969.6622089344 141774012.785172 0.682164030246065 5 TRUE
1992 128938.285853724 129733666.091006 0.828776311051423 0 TRUE
1992 130191.88020966 127313200.148137 0.829167422910024 1 TRUE
1992 157290.444680638 101082074.72981 0.862137674722034 2 TRUE
1992 157836.453475004 102155961.026419 0.853547957706344 3 TRUE
1992 163457.61096956 105639019.402344 0.823178658313628 4 TRUE
1992 165078.508101627 105653930.297587 0.832126443722105 5 TRUE
1993 195306.904118908 188935572.859247 1.74744995206164 0 TRUE
1993 193839.355114445 187246156.374543 1.77211198744227 1 TRUE
1993 178631.718168756 169450651.699759 2.33005980835235 2 TRUE
1993 180454.860401781 168797973.05523 2.33374148260563 3 TRUE
1993 187973.1321986 176498197.952153 2.28375548968401 4 TRUE
1993 188870.170429026 178443530.330017 2.29703702570371 5 TRUE
1994 186103.743887155 135529079.058007 0.84978448753514 0 TRUE
