"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 493561.317699079 250287060.101356 1.06329963092791 0 TRUE
1974 493747.947861502 248261881.580669 1.06813298032627 1 TRUE
1974 492373.055632582 257230597.662817 1.05523944728732 2 TRUE
1974 505765.28715161 248172631.592997 1.13763851265131 3 TRUE
1974 504217.325685931 251938087.247254 1.14643293075642 4 TRUE
1974 506016.253525402 252538173.247233 1.14809625363569 5 TRUE
1975 483423.922198903 363609487.120129 2.10685768113381 0 TRUE
1975 480890.726574254 360839066.281751 2.10519853648557 1 TRUE
1975 488978.45640505 371691611.23713 2.11015585297399 2 TRUE
1975 481882.999592728 357300429.291489 2.20495421240735 3 TRUE
1975 483993.95262767 362502998.543753 2.2151581242498 4 TRUE
1975 488589.399726272 363451867.569695 2.22497690139074 5 TRUE
1976 314610.619424728 232419887.855248 1.82959638625729 0 TRUE
1976 312385.163410121 233488592.045342 1.8363481517404 1 TRUE
1976 321238.16168613 231573105.507792 1.85719920120905 2 TRUE
1976 309259.228068398 243631858.354487 1.88980485059622 3 TRUE
1976 314278.546384314 245364619.224942 1.90601186661605 4 TRUE
1976 316229.167070988 245148689.528802 1.91545876930942 5 TRUE
1977 292106.324662351 364610079.760006 1.81384867214424 0 TRUE
1977 291871.262134559 364938926.844301 1.80300641768554 1 TRUE
1977 291115.374765002 367630862.264717 1.77734714264359 2 TRUE
1977 301178.530983678 371136909.198303 1.84105007376886 3 TRUE
1977 304116.786623074 375383414.12357 1.87626747402872 4 TRUE
1977 305797.775866664 374871775.198333 1.89324625471565 5 TRUE
1978 342944.957946512 471351358.826906 1.76975402257521 0 TRUE
1978 344192.76977678 468030355.028932 1.77449343533003 1 TRUE
1978 346745.75547372 470588546.531295 1.76363980006561 2 TRUE
1978 354670.185527451 464951225.425549 1.86797404588348 3 TRUE
1978 357419.250306124 471837240.978421 1.88447833246143 4 TRUE
1978 357727.289099453 476702327.079794 1.89038068583026 5 TRUE
1979 476719.758661732 277071320.60014 1.10509970122636 0 TRUE
1979 474151.017643574 275678914.700429 1.11714617156511 1 TRUE
1979 477390.673285843 271135134.374601 1.12777180615229 2 TRUE
1979 473500.410153758 282383407.935346 1.1962381414032 3 TRUE
1979 480145.995883817 287393822.916206 1.2076058397934 4 TRUE
1979 485840.071860835 289094594.564675 1.20188296190734 5 TRUE
1980 270788.887550863 171133923.637547 2.58568784955036 0 TRUE
1980 268261.553975084 169631678.236712 2.58033065276533 1 TRUE
1980 265271.743169713 170387422.956411 2.53125156187246 2 TRUE
1980 268394.340183046 164857587.432461 2.72189280988415 3 TRUE
1980 272561.842214966 165782106.42828 2.73442383388186 4 TRUE
1980 276813.106266784 166008262.553197 2.7555380313145 5 TRUE
1981 224286.990788763 72069933.4823128 1.58059824835083 0 TRUE
1981 222830.818544207 72542944.1330445 1.58778801877466 1 TRUE
1981 224440.119131561 73085719.6436256 1.54921069770866 2 TRUE
1981 217868.964346916 70970605.8909003 1.74164693948106 3 TRUE
1981 220231.611520231 71307181.1558406 1.73015001057298 4 TRUE
1981 221814.840005707 71246130.1534834 1.75398530631715 5 TRUE
1982 142684.565338271 42939635.4966373 1.34224948164482 0 TRUE
1982 142288.316463719 42658101.6036768 1.35109195296623 1 TRUE
1982 144872.012744408 41710549.8448447 1.36040196810763 2 TRUE
1982 134765.497924889 39618444.5865059 1.46109690591558 3 TRUE
1982 136579.933585087 39963747.9619114 1.46096448689439 4 TRUE
1982 136857.438035146 40002994.1452309 1.46085503766467 5 TRUE
1983 93593.5623603649 37659547.2659826 1.87560609848057 0 TRUE
1983 93159.768054435 38437720.3803192 1.88241858488213 1 TRUE
1983 92073.0608629722 38940146.2480384 1.84054438945282 2 TRUE
1983 86299.5078731445 38698598.2667543 2.03454302982811 3 TRUE
1983 87259.0992663064 39234007.342607 2.02128325349131 4 TRUE
1983 87831.3315514837 39072630.8594938 2.03973485300757 5 TRUE
1984 60837.9849575676 17730755.9787746 1.74697665646519 0 TRUE
1984 61435.6098655171 18085525.2333149 1.75813361641531 1 TRUE
1984 62092.9292242745 18084004.9998051 1.74452609612722 2 TRUE
1984 59056.9015763319 18388808.8357018 1.84446800213659 3 TRUE
1984 60185.5502365478 18723588.2260601 1.85015700256279 4 TRUE
1984 60199.1439525854 18706957.7262949 1.85216501311065 5 TRUE
1985 49525.196803109 12933442.4823119 1.78203666532089 0 TRUE
1985 50314.7915294866 13020102.9792785 1.79639812607495 1 TRUE
1985 50736.5831664131 12756229.6968907 1.78306075812754 2 TRUE
1985 50400.732590774 12566250.4882132 1.94562483922804 3 TRUE
1985 51357.5174365418 12609524.4509818 1.92745791924107 4 TRUE
1985 51683.1877821105 12658677.0987577 1.93900949985619 5 TRUE
1986 24478.1042717106 56942027.3652528 0.764759915216193 0 TRUE
1986 24658.2238174696 56782628.2528164 0.756829405459842 1 TRUE
1986 24416.8714881589 56738151.0098251 0.712774959613049 2 TRUE
1986 23676.2760318511 53018144.3025662 0.802169287875936 3 TRUE
1986 24090.2254440497 53974583.5477715 0.7990604924233 4 TRUE
1986 24253.807134237 54309226.3812619 0.824390688533186 5 TRUE
1987 54174.2179222747 32276415.5581266 0.541784259660108 0 TRUE
1987 54152.3628582867 32619745.2638774 0.55318511324706 1 TRUE
1987 54323.3353241957 32251129.793065 0.553820029880312 2 TRUE
1987 50683.9187507851 32421899.1405391 0.62813247040152 3 TRUE
1987 51644.4598366429 33104439.3540408 0.626329254400575 4 TRUE
1987 51845.689803862 33334456.7615371 0.62749465063695 5 TRUE
1988 55194.3655247948 41939204.8578541 1.39329476442223 0 TRUE
1988 55189.9237544659 42984022.7246955 1.40004743768527 1 TRUE
1988 54890.2070360731 43222102.3760984 1.36908575525829 2 TRUE
1988 52124.580478063 45172216.3857158 1.51253871307115 3 TRUE
1988 53251.1041127174 46032895.6731914 1.50330377091561 4 TRUE
1988 53728.1659307927 46255038.8073925 1.51645605626156 5 TRUE
1989 38437.0622849422 38174134.0430261 0.874104405135908 0 TRUE
1989 39139.9096359641 38536601.2008079 0.86349975355314 1 TRUE
1989 39464.4891471492 38811313.5792139 0.83220867632499 2 TRUE
1989 39746.2610303105 36194544.5463781 0.86990761010731 3 TRUE
1989 40696.4666265281 36861431.3553364 0.87522198086524 4 TRUE
1989 40937.5932027092 37123200.2341931 0.888219083986694 5 TRUE
1990 33995.6044790839 52999538.6052452 1.46518834914006 0 TRUE
1990 34582.6821327794 54254768.1914464 1.49091432367264 1 TRUE
1990 35093.9432788124 57415154.9432629 1.49040018030552 2 TRUE
1990 33981.4296736931 63437188.8672498 1.7513398768705 3 TRUE
1990 34657.0541407936 64470369.3699414 1.74057475348352 4 TRUE
1990 34878.5345089237 65270184.7099593 1.74869012547277 5 TRUE
1991 77209.0686149862 106592814.992045 0.926266468793391 0 TRUE
1991 78578.22922364 106564521.088798 0.930006188408846 1 TRUE
1991 82449.7196156365 108446634.107501 0.896344262623048 2 TRUE
1991 86848.4011970205 123026018.709291 0.932808529283059 3 TRUE
1991 88663.7877098425 125057389.586835 0.925649159444586 4 TRUE
1991 89847.6715925632 127193637.156968 0.929146703364695 5 TRUE
1992 121802.372060127 128474797.106055 0.944919741226963 0 TRUE
1992 122175.560407396 123817647.082454 0.946383970042788 1 TRUE
1992 125788.372270999 120330577.049948 0.930439766236524 2 TRUE
1992 141583.875633259 109309068.002265 0.931574009581134 3 TRUE
1992 144381.833830081 111144515.239812 0.924633409485158 4 TRUE
1992 146949.160610238 110609560.55605 0.924564799077163 5 TRUE
1993 189968.510131198 183418627.38359 1.92907642685607 0 TRUE
1993 184956.586094807 179867023.889154 1.97008775297663 1 TRUE
1993 182816.16473252 179804550.561681 2.00624236276399 2 TRUE
1993 179763.453374553 153083068.048039 2.671664536026 3 TRUE
