"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 577791.574092817 261363014.191914 1.06263862165855 0 TRUE
1974 577322.460434519 256578801.221369 1.07401013984798 1 TRUE
1974 582230.314598357 255414756.556014 1.06107574619231 2 TRUE
1974 586217.060938157 254358069.341028 1.07723499945862 3 TRUE
1974 582908.471971378 257886141.588046 1.06716385851816 4 TRUE
1974 613484.972335052 262514283.87301 1.24255115838623 5 TRUE
1975 504769.900793832 359666732.714108 1.89956096465361 0 TRUE
1975 499462.641347773 355689530.188354 1.90514439202718 1 TRUE
1975 496751.567543994 354594636.02854 1.85449386896676 2 TRUE
1975 499656.214071932 354319838.972539 1.88261091184549 3 TRUE
1975 496455.04831702 359454924.846153 1.85346991502913 4 TRUE
1975 527916.682387815 361719874.638154 2.20189801298662 5 TRUE
1976 308200.837422035 266007341.392959 1.80681579219657 0 TRUE
1976 304750.386350441 266630910.527262 1.80403621144167 1 TRUE
1976 303498.7347124 267081453.922387 1.75770110000744 2 TRUE
1976 304077.716967181 268540324.91622 1.7736854910571 3 TRUE
1976 307165.438936756 267004157.011171 1.75423883990754 4 TRUE
1976 311301.611540777 272803997.415762 1.95681112337032 5 TRUE
1977 296546.344550468 431187495.382549 1.59935959850934 0 TRUE
1977 297245.736832259 430057136.81815 1.60314703781406 1 TRUE
1977 296285.508459316 431055621.874697 1.59029159268041 2 TRUE
1977 299758.820745424 431940561.488265 1.59848391966846 3 TRUE
1977 297258.39831555 433075019.110213 1.59739676993531 4 TRUE
1977 316248.09207269 431884414.624835 1.79522037068688 5 TRUE
1978 392828.004243821 436502255.889368 1.67556166554062 0 TRUE
1978 392781.596020416 435803024.412647 1.68257980392411 1 TRUE
1978 390189.805500131 432094306.033558 1.65040387697938 2 TRUE
1978 394170.579795041 436744349.795973 1.66766007714618 3 TRUE
1978 391080.27286667 433876615.702921 1.64973569222876 4 TRUE
1978 404861.897460907 463878555.907147 1.89553153626458 5 TRUE
1979 449498.209374424 286185223.911514 1.34959064112951 0 TRUE
1979 449292.334137608 285928701.373328 1.347370303658 1 TRUE
1979 443576.913916625 289720297.690562 1.33194903307399 2 TRUE
1979 450714.764219792 290586545.818138 1.3275492115159 3 TRUE
1979 444881.48673781 293317588.47701 1.33140763346006 4 TRUE
1979 482468.463668955 308116373.197999 1.37099075242671 5 TRUE
1980 232126.712388469 179671355.30262 2.34816460265233 0 TRUE
1980 232716.457531144 178330801.754189 2.36693998832307 1 TRUE
1980 231753.296022789 176862052.71998 2.30975671242826 2 TRUE
1980 236080.413486397 177367237.121598 2.35976678520059 3 TRUE
1980 233587.001518629 177787258.822447 2.28909341805681 4 TRUE
1980 265087.532497939 178197024.551075 2.71876707350712 5 TRUE
1981 223018.721157122 69314404.8325983 1.23394964223452 0 TRUE
1981 221597.943369152 69232024.9548263 1.24718482445782 1 TRUE
1981 219859.109842001 67571339.0390356 1.19847707543879 2 TRUE
1981 221141.665694434 67880922.4627053 1.24314614363181 3 TRUE
1981 222229.031377596 67330750.147426 1.19057196840938 4 TRUE
1981 230128.549922077 66014387.7120597 1.63332296161516 5 TRUE
1982 150002.200422491 46633027.6588455 1.30950611909766 0 TRUE
1982 148994.34356583 46419798.3683506 1.30996705492254 1 TRUE
1982 147478.688952892 45616178.4794774 1.26167189387846 2 TRUE
1982 147062.420296484 45410703.6862922 1.28035183624461 3 TRUE
1982 148071.616460774 45145273.264656 1.25245923082739 4 TRUE
1982 137660.866835133 42152255.3149773 1.41384068892292 5 TRUE
1983 93534.7097563701 40704675.2510507 1.57162371137634 0 TRUE
1983 93357.5845106729 40566955.8226079 1.58439204219512 1 TRUE
1983 92333.9214935573 40623248.0773631 1.52393381224201 2 TRUE
1983 92286.5721430527 40017404.754162 1.56880238962791 3 TRUE
1983 91979.8586313455 41293082.844832 1.5011593070314 4 TRUE
1983 87914.950833204 39613686.7979675 1.90164220905496 5 TRUE
1984 66337.2029195903 18229955.4014266 1.77019331295015 0 TRUE
1984 66041.2333076907 18277025.9639921 1.77425505038827 1 TRUE
1984 66109.253613647 18449025.1986974 1.75137418947499 2 TRUE
1984 65172.7964590277 18231303.9768741 1.74989990299854 3 TRUE
1984 67007.90802602 18791660.7347306 1.75038991921609 4 TRUE
1984 62073.3295435169 18328149.2667313 1.84922674870899 5 TRUE
1985 47337.6793624747 12357159.1551901 1.51740423734194 0 TRUE
1985 47453.5456662294 12372889.3285873 1.52651670324125 1 TRUE
1985 47231.2589668344 12281941.2787019 1.42781568634063 2 TRUE
1985 47338.0982394303 12224241.8204473 1.49189622153563 3 TRUE
1985 47939.809914319 12324686.8258479 1.38989707526539 4 TRUE
1985 50197.0459903524 12091928.9031766 1.83019817983477 5 TRUE
1986 24101.6471482041 61376005.8398012 0.492651671590922 0 TRUE
1986 24139.1367376841 60816865.1380512 0.501409080104234 1 TRUE
1986 24588.7143372936 60920129.4054138 0.460826028084807 2 TRUE
1986 24165.5582998061 60022635.5683999 0.489744087752085 3 TRUE
1986 25126.5439378157 61753700.4475439 0.444292850736699 4 TRUE
1986 23477.2090503296 58076476.5672263 0.642629256253816 5 TRUE
1987 59021.9281585306 32195608.3730358 0.497535516663833 0 TRUE
1987 58507.5648291939 32097309.3491815 0.500906209183265 1 TRUE
1987 58943.0346238581 32266761.1994261 0.486213228519993 2 TRUE
1987 57897.6887259672 31816784.1909657 0.493785268164043 3 TRUE
1987 59963.5203287293 32806090.4360294 0.487822352166465 4 TRUE
1987 55525.3675794609 32898594.3173315 0.599916023171922 5 TRUE
1988 57018.5095661574 39926865.4711511 1.28255655202725 0 TRUE
1988 56653.4455566142 40195440.0402986 1.28827860954175 1 TRUE
1988 56924.534032173 40326844.6777574 1.23573405174806 2 TRUE
1988 56159.9563176794 40100944.681683 1.26139634918734 3 TRUE
1988 57719.1379137524 41236751.1817965 1.22286067065254 4 TRUE
1988 55469.5475607566 44956974.5872772 1.52455654914929 5 TRUE
1989 36921.9946727166 30480107.9079032 0.772299166569139 0 TRUE
1989 37037.0136177022 30471084.5085412 0.771754474857209 1 TRUE
1989 37476.7076320854 29601408.2819519 0.754677753805629 2 TRUE
1989 37102.7309815341 29610963.5550588 0.765319481044548 3 TRUE
1989 38384.5304255927 29736756.6389232 0.746804608055598 4 TRUE
