"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 577793.919272701 261364453.893636 1.06263667236427 0 TRUE
1974 577325.644961613 256578087.193099 1.07400731781999 1 TRUE
1974 582239.580206981 255412034.373775 1.06106163077604 2 TRUE
1974 586219.323977941 254359782.676942 1.07723433832184 3 TRUE
1974 582911.122331083 257883984.858604 1.06716732370356 4 TRUE
1974 613484.230017419 262510455.225035 1.24256675003105 5 TRUE
1975 504772.403554431 359664777.269758 1.89956726281601 0 TRUE
1975 499463.780360255 355687893.742641 1.90514314825835 1 TRUE
1975 496757.213525607 354597137.272325 1.85449218374677 2 TRUE
1975 499659.375051479 354325578.153706 1.88263522800332 3 TRUE
1975 496453.7456284 359461186.058338 1.85348477585962 4 TRUE
1975 527910.046293036 361725740.092871 2.20188106972574 5 TRUE
1976 308199.269609312 266005867.745569 1.80681715919276 0 TRUE
1976 304749.051090378 266632008.683264 1.80404305743265 1 TRUE
1976 303500.148401388 267081951.239592 1.75768716683278 2 TRUE
1976 304080.36736319 268541687.041245 1.7736786325228 3 TRUE
1976 307168.182969836 267004808.002107 1.75425468510512 4 TRUE
1976 311305.650393835 272804998.914088 1.95682934267249 5 TRUE
1977 296544.350565272 431182449.324511 1.59934554651319 0 TRUE
1977 297245.372478525 430057315.373763 1.60313990709227 1 TRUE
1977 296287.332721056 431052751.013729 1.59030775618674 2 TRUE
1977 299761.636462196 431944539.801678 1.5984991780992 3 TRUE
1977 297259.061482844 433069095.091169 1.59740097084867 4 TRUE
1977 316249.404002348 431884557.668203 1.79521773355941 5 TRUE
1978 392824.771803256 436497393.565434 1.67556896890454 0 TRUE
1978 392782.187086531 435803038.661937 1.68258726248291 1 TRUE
1978 390186.527199215 432090813.219929 1.65040222954594 2 TRUE
1978 394172.812949648 436745336.260847 1.66764658589186 3 TRUE
1978 391075.957307188 433875042.561649 1.64974498182005 4 TRUE
1978 404862.672571458 463874568.802267 1.89554360300194 5 TRUE
1979 449492.131357234 286183805.688553 1.34957657307022 0 TRUE
1979 449291.123836686 285928146.121332 1.34736767357422 1 TRUE
1979 443573.293554003 289720129.523746 1.33194578438486 2 TRUE
1979 450718.158901782 290585170.195533 1.3275455382703 3 TRUE
1979 444877.732757352 293315280.342602 1.33140645617949 4 TRUE
1979 482464.65729584 308114774.114226 1.37098038589401 5 TRUE
1980 232125.812639419 179671290.29022 2.34815319658722 0 TRUE
1980 232716.031703119 178331580.709329 2.36694391811426 1 TRUE
1980 231752.650907628 176861308.323415 2.30974906685792 2 TRUE
1980 236080.411178939 177365068.548613 2.35977203755122 3 TRUE
1980 233585.556603678 177787566.289307 2.28907750306329 4 TRUE
1980 265086.646700084 178198155.670427 2.71876845972491 5 TRUE
1981 223018.831102724 69314608.3552617 1.23394709936196 0 TRUE
1981 221598.059683892 69231275.1182228 1.24717582019238 1 TRUE
1981 219858.628031431 67571191.0090884 1.19847095163755 2 TRUE
1981 221139.257763825 67880697.5626327 1.24314281910693 3 TRUE
1981 222229.87707059 67330994.972255 1.19057237103706 4 TRUE
1981 230129.411937183 66014882.0827421 1.63332767185122 5 TRUE
1982 150002.482759924 46632948.856085 1.30950783219271 0 TRUE
1982 148994.229317751 46419708.76344 1.30996442822651 1 TRUE
1982 147478.616746002 45615919.9027179 1.2616634343812 2 TRUE
1982 147061.47289634 45410643.592743 1.28035379897918 3 TRUE
1982 148072.157414821 45145252.6756299 1.25246807464593 4 TRUE
1982 137661.620596098 42152209.6049296 1.4138365383771 5 TRUE
1983 93534.6097964093 40704705.7790348 1.57162248874031 0 TRUE
1983 93357.2247523954 40567161.2105662 1.58438903699982 1 TRUE
1983 92333.8300741154 40622928.0483126 1.52392546352801 2 TRUE
1983 92286.2754499543 40017543.8874547 1.56879372417784 3 TRUE
1983 91979.6919279894 41292598.695647 1.50115708413545 4 TRUE
1983 87915.310454687 39613319.8406496 1.90164120594075 5 TRUE
1984 66337.1785480973 18230013.2279784 1.77018863755156 0 TRUE
1984 66041.3754470981 18277081.5313511 1.77425473834697 1 TRUE
1984 66108.9817428426 18449014.4342577 1.75137239143648 2 TRUE
1984 65173.0849385397 18231258.57813 1.74991285052825 3 TRUE
1984 67007.448599058 18791422.6055218 1.7503956556916 4 TRUE
1984 62073.0011487804 18328138.711206 1.84921442089414 5 TRUE
1985 47337.8144480941 12357176.1673217 1.51739707810026 0 TRUE
1985 47453.6513955409 12372936.4886603 1.52651657101803 1 TRUE
1985 47231.1115737949 12281894.5218781 1.42780387020187 2 TRUE
1985 47337.9061204982 12224199.8865494 1.49189745958181 3 TRUE
1985 47939.17751421 12324674.0660967 1.38988179589014 4 TRUE
1985 50197.0586065405 12091933.5249975 1.83019633617531 5 TRUE
1986 24101.7419068632 61375976.3881905 0.492651327357637 0 TRUE
1986 24139.1939830885 60816953.3496531 0.501404275262018 1 TRUE
1986 24588.7377497326 60920143.0327471 0.460821802217219 2 TRUE
