"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 518548.871627326 253213733.308138 1.06241171469615 0 TRUE
1974 524438.099152644 245027362.225017 1.0828767637204 1 TRUE
1974 519195.659867104 257038405.206463 1.00125804798467 2 TRUE
1974 533658.469854819 250135662.455666 1.06225179444974 3 TRUE
1974 549533.759462516 253049424.942275 1.07250424214074 4 FALSE
1974 549029.752833206 255662621.411869 1.09543837614558 5 TRUE
1975 481035.973110994 353929578.287508 1.96280945122705 0 TRUE
1975 476934.449844155 345659426.829209 1.97539410615981 1 TRUE
1975 486202.042779187 363165000.979156 1.87812753374336 2 TRUE
1975 492989.562147968 354072389.290822 1.97254335196668 3 TRUE
1975 501125.946306295 357655047.785031 1.97127863398614 4 FALSE
1975 504108.915208617 359086551.210905 2.02124909533575 5 TRUE
1976 309046.415448027 257912702.704212 1.75580595351928 0 TRUE
1976 302825.982081068 262454348.266618 1.74513811453345 1 TRUE
1976 314425.166891837 255769894.97928 1.65819759728057 2 TRUE
1976 310284.374738919 261730057.256158 1.73639509960682 3 TRUE
1976 314482.780069251 272399645.576179 1.68235445483277 4 FALSE
1976 315924.625364184 272381654.078045 1.72685239610931 5 TRUE
1977 306432.926716895 405846779.330718 1.57843893919997 0 TRUE
1977 311633.30702266 406109042.721974 1.59003621297125 1 TRUE
1977 306750.296614607 405065326.52366 1.49923572730438 2 TRUE
1977 314880.362474532 407872855.486159 1.57732161294565 3 TRUE
1977 330160.393909034 411881455.40997 1.57267177949951 4 FALSE
1977 330447.792107702 412003383.272141 1.61220372913135 5 TRUE
1978 388647.567297133 461316601.164773 1.64069284743409 0 TRUE
1978 392177.105991644 462825941.106974 1.66531074796722 1 TRUE
1978 386470.863478739 463141997.478412 1.54213528547159 2 TRUE
1978 394741.188028804 471720381.524611 1.64052589091235 3 TRUE
1978 403755.475320192 479644240.054832 1.64866987868856 4 FALSE
1978 403860.929367255 481857306.147211 1.69163239439316 5 TRUE
1979 484579.760368182 278987336.629729 1.11956737269653 0 TRUE
1979 487393.205516093 281713238.074147 1.12251111061908 1 TRUE
1979 486015.698975123 277783367.367742 1.07850877276145 2 TRUE
1979 498607.483085453 282653288.363641 1.11088992806368 3 TRUE
1979 507305.344286803 295639071.628085 1.12520754544158 4 FALSE
1979 509020.404716256 296105959.336801 1.15013570984052 5 TRUE
1980 262448.616056139 175805629.413255 2.44111151906834 0 TRUE
1980 265970.013246366 175637383.873088 2.48278839659128 1 TRUE
1980 260142.45762204 173911441.815311 2.26009622519626 2 TRUE
1980 270567.120294303 175772611.531855 2.43434804068213 3 TRUE
1980 278171.104004362 172210693.586629 2.41677404705847 4 FALSE
1980 279146.02601569 173548358.567031 2.46552178526394 5 TRUE
1981 227306.605275009 71143149.702819 1.40735695622456 0 TRUE
1981 228000.704553078 71217298.6523129 1.44829877156823 1 TRUE
1981 227472.096799868 72444106.2347107 1.31180028433955 2 TRUE
1981 231425.626995597 71179789.5224311 1.44440155341382 3 TRUE
1981 232204.973099375 73791518.3645483 1.51675972615944 4 FALSE
1981 234108.000680989 74388621.4787381 1.55084767609648 5 TRUE
1982 147422.71461425 42979710.8384847 1.29043682868109 0 TRUE
1982 146716.851936077 43510803.1250286 1.28859333173936 1 TRUE
1982 149263.812856075 41687565.7010634 1.22279889229478 2 TRUE
1982 147884.189678883 42122288.977516 1.27125990318719 3 TRUE
1982 145371.315269294 41718625.1730777 1.27049095984794 4 FALSE
1982 146649.992149515 42629548.5534578 1.28867869549176 5 TRUE
1983 93051.2645401253 37694033.9505783 1.75660499810096 0 TRUE
1983 94235.7935043265 36784550.8300218 1.79341867700545 1 TRUE
1983 92088.1591061031 40374614.7571274 1.64995375411156 2 TRUE
1983 93275.1903930305 37244185.2479129 1.76972386308756 3 TRUE
1983 93216.3905078435 41270465.741834 1.85626356749105 4 FALSE
1983 94941.2776178956 41311033.4264656 1.88696453258598 5 TRUE
1984 60931.8213232569 17080952.0704821 1.64628596681115 0 TRUE
1984 60140.4035618734 16670799.1338907 1.65498922758956 1 TRUE
1984 63441.9031528523 18071852.5350734 1.57213321638392 2 TRUE
1984 60567.1720303347 16756327.6269915 1.62421571469894 3 TRUE
1984 63236.3738847189 18573545.3071687 1.62878565303 4 FALSE
1984 63879.2932650572 18450678.038831 1.65478678641357 5 TRUE
1985 48425.3819293036 12418178.5849326 1.67864235542896 0 TRUE
1985 47683.2001153776 12281688.0524954 1.69063526557404 1 TRUE
1985 51056.0067656851 12580964.3381445 1.53262127313039 2 TRUE
1985 48814.9149897757 12175106.5718549 1.66092928650623 3 TRUE
1985 53547.6491439121 12583415.2962702 1.6996793125004 4 FALSE
1985 53680.5728949221 12618595.5136066 1.74530493402959 5 TRUE
1986 23576.569550126 54373013.5660942 0.602850359759277 0 TRUE
1986 23313.644963466 53949722.7967423 0.652251500184241 1 TRUE
1986 24700.0709121741 56222672.1881873 0.505683143093385 2 TRUE
1986 23508.2885745908 54642458.4793918 0.627764705886101 3 TRUE
1986 24561.2380704418 55602341.40443 0.618473984314429 4 FALSE
1986 24499.3509500555 56711398.6869441 0.650691976069864 5 TRUE
1987 52662.1190390289 29899127.572342 0.487093447056803 0 TRUE
1987 51922.295139543 28959704.4844271 0.477548433571917 1 TRUE
1987 55030.9100838923 30931638.7644399 0.470223413622826 2 TRUE
1987 52651.1997019214 28999396.7204556 0.47805740430091 3 TRUE
1987 53913.554617938 31380664.104158 0.513296705955883 4 FALSE
1987 54690.7325767557 31409221.7411437 0.517162504790119 5 TRUE
1988 52700.7723856577 39646830.480159 1.31019869722628 0 TRUE
1988 52040.3564852835 38527381.0314313 1.33778899557388 1 TRUE
1988 54461.0778457035 43747384.9131572 1.20193990050195 2 TRUE
1988 52567.4529261924 40170540.0067676 1.31025982187028 3 TRUE
1988 54238.7637761149 47450393.4963728 1.34529209483768 4 FALSE
1988 54956.3987247966 47088019.1794099 1.39055814488162 5 TRUE
1989 36421.2931527934 34623994.5759489 0.689242007969021 0 TRUE
1989 35305.3935552441 33415964.0387481 0.707612502307892 1 TRUE
1989 39867.3417741249 36344654.5004444 0.607409139047902 2 TRUE
1989 36618.879857078 33607160.8858201 0.680222770501646 3 TRUE
1989 41659.8085208025 34331168.4688164 0.641431899429663 4 FALSE
1989 41301.3074258523 34380670.8382924 0.662276188615314 5 TRUE
1990 32547.6819142555 51188248.3083763 1.3930986863506 0 TRUE
1990 31429.2462953585 49119215.3535935 1.39619560422178 1 TRUE
1990 35345.9185943876 56909126.8586446 1.33178122305622 2 TRUE
1990 32348.139526721 52290368.1486589 1.39992980931824 3 TRUE
1990 35372.9984572042 62973550.9033049 1.56859705290722 4 FALSE
1990 35203.3684442739 64055371.0260964 1.59827061347174 5 TRUE
1991 73676.0158549599 102591319.759993 0.70797533726592 0 TRUE
1991 71034.8187161373 103004534.317001 0.734011827668134 1 TRUE
1991 81028.864962148 109071865.16107 0.622956841153192 2 TRUE
1991 74909.3090146404 107248314.253318 0.70023367090704 3 TRUE
1991 86545.7001415649 138415992.098857 0.665380251486272 4 FALSE
1991 87953.4716194321 141935023.451809 0.674848000531512 5 TRUE
1992 120305.64830731 121509574.651914 0.885651953527489 0 TRUE
1992 119567.572876181 124303958.802317 0.888716108264737 1 TRUE
1992 130031.977610742 114667217.007243 0.800134158941732 2 TRUE
1992 125644.122804496 118183341.61846 0.850119634720075 3 TRUE
1992 160681.708965225 111585210.150124 0.812969935338627 4 FALSE
1992 164727.781952459 112556789.407592 0.836348990796821 5 TRUE
1993 180966.074288847 177115341.874996 1.74866298791468 0 TRUE
1993 184611.675947988 175656544.304329 1.79527630296356 1 TRUE
