"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 526389.081231494 236975038.690751 1.17848202174029 0 TRUE
1974 486455.942417412 348311286.839964 1.03635672708103 1 TRUE
1974 482174.297709439 346591781.311947 1.03171810680076 2 TRUE
1974 481976.424772079 346118277.144968 1.0267292272404 3 TRUE
1974 479931.666128646 345849824.501562 1.02237395347294 4 TRUE
1974 480844.767659319 346507788.20123 1.01873116083452 5 TRUE
1975 467106.537844653 348365408.821118 2.05601674741573 0 TRUE
1975 530454.648967237 519668111.60337 2.01250115854984 1 TRUE
1975 524431.928972257 515071997.34674 1.99226750729931 2 TRUE
1975 523724.689818645 515713475.568029 1.98905753114255 3 TRUE
1975 521438.74705271 512501132.836286 1.9695411681612 4 TRUE
1975 523035.84080284 512233850.401825 1.96604710635777 5 TRUE
1976 290714.350824534 262711610.423337 1.74664474806425 0 TRUE
1976 400798.414966619 184478296.534924 1.95781935682304 1 TRUE
1976 397289.910993428 183693056.134133 1.95063410035876 2 TRUE
1976 396682.612295555 184064799.990877 1.94295993694068 3 TRUE
1976 394945.63024925 183433934.416288 1.94342640274018 4 TRUE
1976 394668.778449211 183872214.420948 1.95168908933247 5 TRUE
1977 304711.51780571 434916488.79474 1.82280826081001 0 TRUE
1977 225200.239585753 418189290.699663 1.48608598994773 1 TRUE
1977 222035.640291931 415357616.475503 1.46388046672832 2 TRUE
1977 221888.514057235 415330477.76202 1.45368623514714 3 TRUE
1977 219547.659485672 414423027.54721 1.44471645691392 4 TRUE
1977 218996.107765007 414360624.761949 1.44271197839686 5 TRUE
1978 396023.090706922 498574447.189243 1.64745704262183 0 TRUE
1978 360922.457026176 512429286.5125 1.35036887645133 1 TRUE
1978 358867.639408242 506575868.488228 1.33532690062777 2 TRUE
1978 358733.032121708 506193064.020078 1.32978070595807 3 TRUE
1978 357722.728926374 502036928.714742 1.31874160183225 4 TRUE
1978 357440.835363282 500706247.140359 1.32123404788653 5 TRUE
1979 530044.1047604 288131371.589734 0.969813828656867 0 TRUE
1979 525190.765396419 220583629.563449 1.01150372057505 1 TRUE
1979 519105.691411291 221335850.866363 1.00709860873722 2 TRUE
1979 518119.854479449 220948087.198922 1.00411033275823 3 TRUE
1979 514454.779087391 221525685.29479 1.00451223499608 4 TRUE
1979 512625.486446718 221362127.971422 1.01039981770869 5 TRUE
1980 311657.743066277 177988666.556487 2.13919242493843 0 TRUE
1980 246308.937201168 202593818.540037 1.61574725877278 1 TRUE
1980 244206.647188666 207203664.878448 1.57082778500644 2 TRUE
1980 243500.702727878 206779149.895375 1.56783559225678 3 TRUE
1980 241921.524999505 208085810.937905 1.54142238907861 4 TRUE
1980 240697.095981016 208199154.036865 1.54501342082308 5 TRUE
1981 249381.947058695 85336139.6743027 1.34948992717667 0 TRUE
1981 267209.117975732 86265515.3408398 1.09661662474839 1 TRUE
1981 273922.182803116 86097395.6457539 1.03709734225664 2 TRUE
1981 272928.515236333 86057307.1083242 1.03687529715498 3 TRUE
1981 275516.851632401 85981964.114925 1.01358781127778 4 TRUE
1981 274849.054972495 85821710.2624898 1.01517364580844 5 TRUE
1982 167717.740991474 48247512.2608946 1.51996507727006 0 TRUE
1982 178692.267061063 35594051.916939 1.58331917515931 1 TRUE
1982 184916.831709639 36673295.8585422 1.55382755304923 2 TRUE
1982 184069.619171571 36628405.437403 1.55052753110515 3 TRUE
1982 186225.814776747 36961788.2298578 1.53609856555491 4 TRUE
1982 185719.580494612 37087681.1683392 1.54547633907683 5 TRUE
1983 98134.7376679301 45643779.0066867 2.08172786235637 0 TRUE
1983 73726.5478940664 59883730.1621645 1.27480278237769 1 TRUE
1983 75909.2491964298 58988883.3667571 1.18813950908317 2 TRUE
1983 75669.5581809097 58928167.4060223 1.18461883087233 3 TRUE
1983 76422.3316753581 58760315.9297389 1.15456837867738 4 TRUE
1983 76120.5637901237 58597225.5544404 1.15206393225095 5 TRUE
1984 66135.2670715662 24590710.498895 1.72392670503801 0 TRUE
1984 83965.5530393022 25783671.9038722 1.74264673959901 1 TRUE
1984 85318.4592604067 25284145.2915257 1.72412566448566 2 TRUE
1984 85116.1944891556 25306540.2009519 1.72329189351186 3 TRUE
1984 85706.5823704753 25270091.5590419 1.70907598842944 4 TRUE
1984 85521.2165922481 25093874.2511211 1.72126053553103 5 TRUE
1985 63907.8098784602 16840466.7536115 1.30951733566641 0 TRUE
1985 63927.07237594 17091858.9084247 0.935382784506468 1 TRUE
1985 62910.5541089262 17221054.605088 0.931014490026613 2 TRUE
1985 62674.2243328068 17181367.2454321 0.927070392982342 3 TRUE
1985 62622.9528517717 17253942.6805435 0.914689768711075 4 TRUE
1985 61952.0764542211 17195440.3250132 0.925848293089079 5 TRUE
1986 37079.8920433546 63613191.0635083 0.381235572747607 0 TRUE
1986 40577.4485251144 78812357.5653761 0.252452583800127 1 TRUE
1986 40317.170961319 79598749.1337126 0.244766062814049 2 TRUE
1986 40224.0809511766 79227906.4737197 0.244238389873825 3 TRUE
1986 40420.8126453175 80096215.2060008 0.239959677982895 4 TRUE
1986 39949.5921365487 79794112.6655129 0.241265942310272 5 TRUE
1987 73965.263455154 41501480.962611 0.629155514530536 0 TRUE
1987 90925.2244831393 41045797.6480779 0.608675886248213 1 TRUE
1987 91727.1483023813 39934581.6578476 0.588855067945995 2 TRUE
1987 91323.8964500371 39864873.1033192 0.589228469860126 3 TRUE
1987 92290.2223057623 39500095.328699 0.574902411133413 4 TRUE
1987 91787.3283153031 39157708.1020527 0.578436027995086 5 TRUE
1988 69576.7877182281 59161209.8980801 1.10344869377025 0 TRUE
1988 73239.5681042165 59976298.1307713 0.844320255615706 1 TRUE
1988 72993.2364328207 56591548.2833149 0.84909971538059 2 TRUE
1988 72633.2547465227 56410952.511361 0.846626634144442 3 TRUE
1988 73041.6839223604 55816396.3123414 0.844651477362595 4 TRUE
1988 72429.5194225047 55222135.7579984 0.855175547857878 5 TRUE
1989 54567.4064813914 50972293.100921 0.552416366278395 0 TRUE
1989 57959.6531168562 64162000.153914 0.474608829087495 1 TRUE
1989 55337.8852237489 63886243.5349514 0.496268635534081 2 TRUE
1989 55136.2922010731 63882995.4460561 0.496011288617024 3 TRUE
1989 54765.4907553202 64032997.9424453 0.496041654037974 4 TRUE
1989 54003.8960415253 63906256.2241327 0.503255990693173 5 TRUE
1990 50843.7501096671 75818413.5311629 1.26711266622562 0 TRUE
1990 58811.2558377688 89039701.363167 1.02635835326811 1 TRUE
1990 56984.918734697 87009317.4820314 0.999708102796169 2 TRUE
1990 56859.9786615316 87045233.0975713 0.995503015642046 3 TRUE
1990 56692.6598991538 87362253.5830933 0.976208753749747 4 TRUE
1990 56215.22952259 87070253.443666 0.978934119980849 5 TRUE
1991 112018.6013087 125203263.797138 0.803153557873246 0 TRUE
1991 133081.608156521 131690020.241695 0.607912882825741 1 TRUE
1991 130651.281241362 130275561.018813 0.607532697346057 2 TRUE
1991 130583.19352723 130323888.025431 0.604726387952196 3 TRUE
1991 131328.651131531 130563765.463225 0.593114098601374 4 TRUE
1991 130694.738454304 130477429.935539 0.595879825320482 5 TRUE
1992 150676.986306066 131511615.366784 0.881749397181192 0 TRUE
1992 164555.977652519 125550926.779664 1.08441490666692 1 TRUE
1992 162095.962320674 127902428.665911 1.08110043175392 2 TRUE
1992 162069.905444912 128121244.123312 1.07641032061817 3 TRUE
1992 162798.321702826 129500155.568631 1.06060279411621 4 TRUE
1992 162364.42341008 130201850.597896 1.06339097133788 5 TRUE
1993 199310.650062829 195478861.382645 1.63744773421071 0 TRUE
1993 176344.835833136 372711134.811686 0.884616392535073 1 TRUE
1993 177621.592829403 368198718.232975 0.845689310947584 2 TRUE
1993 177722.151809885 367612882.148049 0.83882793156924 3 TRUE
1993 179627.081811134 367048411.973057 0.816686249818412 4 TRUE
1993 180031.659271416 368042317.238956 0.812315571876669 5 TRUE
1994 199719.508877358 145483553.333408 1.10709043897867 0 TRUE
1994 364770.777489888 216272165.524649 1.17352320378635 1 TRUE
1994 363835.534590134 214545954.537005 1.16945567111569 2 TRUE
1994 363419.604461721 214867724.558994 1.16906833208711 3 TRUE
1994 364809.082937051 214829765.097482 1.15420476732604 4 TRUE
1994 365974.820320631 214817739.060202 1.15420996550254 5 TRUE
1995 248341.208866931 41913937.437255 1.39115960663855 0 TRUE
1995 365375.348852311 24632535.1582506 2.04304656065409 1 TRUE
1995 360195.862342805 25060673.3198854 2.02683671696152 2 TRUE
1995 359274.036891048 25173980.7880534 2.02011727478252 3 TRUE
1995 359868.970993562 25438487.2459697 1.99471526243332 4 TRUE
1995 360120.876289583 25622094.3216999 2.00230505673789 5 TRUE
1996 131361.63846509 69158340.0899191 1.65202996634108 0 TRUE
1996 82390.1492907865 69608107.122911 0.541227469967158 1 TRUE
1996 81763.7863470447 69687814.1156808 0.516537588582361 2 TRUE
1996 81777.2164806341 69568693.8146391 0.510745743786494 3 TRUE
1996 82621.4776851851 69856124.7421336 0.498185815305743 4 TRUE
1996 82400.4384513861 69889356.8218959 0.494473264872979 5 TRUE
1997 110284.306034119 68744944.4711528 0.981138757397668 0 TRUE
1997 126158.345112919 69146686.7769178 1.11050748787787 1 TRUE
1997 127253.068039665 70238470.6001874 1.09850929656387 2 TRUE
1997 127309.602455134 70341585.7148492 1.09570266419015 3 TRUE
1997 128572.112321918 70758681.9797998 1.08229057501603 4 TRUE
1997 128739.700586642 71152919.071897 1.08465219933194 5 TRUE
1998 143850.269277342 152137294.383404 1.63692409877815 0 TRUE
1998 133389.317688248 188478229.819937 1.12437708029899 1 TRUE
1998 134915.011509072 186359515.230003 1.07103220781195 2 TRUE
1998 134849.826097799 186358263.691102 1.06434902367084 3 TRUE
1998 135865.510421127 186667809.051441 1.04134313013168 4 TRUE
1998 136258.457334143 186724820.442433 1.03443229650308 5 TRUE
1999 182623.894212426 99574166.0406708 1.19138628919261 0 TRUE
1999 226431.09155328 106058758.264101 1.18553152555832 1 TRUE
1999 226393.91994659 104520645.959929 1.18013689442888 2 TRUE
1999 226319.308964445 104572700.338095 1.17694075102911 3 TRUE
1999 227560.539837792 104966278.33966 1.15898615152372 4 TRUE
1999 227900.345395263 104892311.080439 1.16159167877599 5 TRUE
2000 216291.801331201 78887671.7820572 1.48987926847415 0 TRUE
2000 223931.501276843 79287435.7634708 1.40531689352187 1 TRUE
2000 220335.4843025 79094799.5310888 1.42288003296845 2 TRUE
2000 220030.96298727 79147323.7054495 1.41730301266511 3 TRUE
2000 221416.201702718 79308246.3073982 1.39536844780347 4 TRUE
2000 221052.981918896 79468332.4826736 1.40290785554549 5 TRUE
2001 154425.775040502 81782698.3629246 1.53232622418941 0 TRUE
2001 149065.287445375 89084565.8380171 1.27142842244709 1 TRUE
2001 146540.019834371 88456349.6101871 1.25497883062777 2 TRUE
2001 146474.033675159 88457785.5696569 1.24987981536604 3 TRUE
2001 147527.883512954 88558927.7968979 1.2320350718072 4 TRUE
2001 147199.392782214 88636219.8654518 1.23174437277308 5 TRUE
2002 144780.057254167 79760646.5994253 1.57894228687393 0 TRUE
2002 152476.195507589 79533991.5050275 1.38689527639645 1 TRUE
2002 151352.852788194 78304314.278761 1.36462386802608 2 TRUE
2002 151217.831110376 78385204.098606 1.36095355314503 3 TRUE
2002 151884.160481503 78756050.3393595 1.34289780273918 4 TRUE
2002 151875.771044672 78663339.7250668 1.34298097710279 5 TRUE
2003 143240.894855608 101473103.015435 1.64221932459076 0 TRUE
2003 141377.416445047 90888918.5604905 1.59471852705851 1 TRUE
2003 139697.112643272 89443478.0396854 1.61702893609473 2 TRUE
2003 139563.446013029 89526188.2142925 1.61007736173365 3 TRUE
2003 140455.124816105 89835908.7591788 1.58337665827415 4 TRUE
2003 140243.374479876 89727067.1973549 1.59191466575638 5 TRUE
2004 153742.648855243 191866470.932509 1.39778440823418 0 TRUE
2004 132195.975908914 176096572.265961 0.87979753288479 1 TRUE
2004 128938.141465951 174394114.756363 0.87818142087294 2 TRUE
2004 128882.718158617 174524196.018632 0.873766277631689 3 TRUE
2004 129813.515495836 175096191.042101 0.858196889201022 4 TRUE
2004 129274.079752269 174621488.622963 0.860969948692299 5 TRUE
2005 252501.334818786 66481311.9713671 1.33211796800517 0 TRUE
2005 241442.40807829 38336587.5727537 1.54760544111089 1 TRUE
2005 238078.5805828 38128918.2176451 1.52858218451479 2 TRUE
2005 238087.078763459 38238910.3096343 1.5228010213577 3 TRUE
2005 239448.533904495 38640784.4295589 1.50590271229163 4 TRUE
2005 238502.810525493 38562350.3746772 1.51399967202513 5 TRUE
2006 191962.60140017 75050987.573658 1.51403593904699 0 TRUE
2006 113224.541312762 58830366.0574513 0.7109463371676 1 TRUE
2006 111853.038154678 58093307.6579759 0.7044408053434 2 TRUE
2006 111868.421988557 58187045.512725 0.697375780155653 3 TRUE
2006 112795.339427455 58517633.743424 0.682784274701934 4 TRUE
2006 111943.398477087 58250673.4080121 0.686798681022144 5 TRUE
2007 118764.160850084 54633240.8343125 1.44943900813836 0 TRUE
2007 103423.162471368 51205948.4209925 1.13458008516944 1 TRUE
2007 102353.140351067 51446509.7832902 1.13560878349637 2 TRUE
2007 102656.305010455 51724709.942937 1.12536049453071 3 TRUE
2007 103831.522770264 52500884.880687 1.11040753666962 4 TRUE
2007 103122.178961891 52385214.82 1.12239736978501 5 TRUE
2008 79914.5506683713 151021785.551571 0.950503742941608 0 TRUE
2008 72502.0903363054 182302936.522083 0.430702889345681 1 TRUE
2008 72025.6972701957 179835314.949524 0.417086312621832 2 TRUE
2008 72437.2284854524 180718966.425348 0.412270310306505 3 TRUE
2008 73533.6203295054 183953000.358178 0.399411591381853 4 TRUE
2008 72926.8253811767 181910612.522378 0.400940304656482 5 TRUE
2009 191343.042054375 117971369.670388 0.599970685786823 0 TRUE
2009 236926.456565838 111074877.200657 0.72483013386671 1 TRUE
2009 234721.933945798 110612635.002288 0.719468664808379 2 TRUE
2009 235982.242908418 111263433.954632 0.712736620487757 3 TRUE
2009 240622.653495238 113696240.46368 0.688704882501269 4 TRUE
2009 238049.125231696 112697891.762064 0.69967934501556 5 TRUE
2010 223218.290815965 111242515.498621 0.981121588670265 0 TRUE
2010 214704.927640653 115591233.506739 0.613687689647031 1 TRUE
2010 212495.018141729 116613904.279239 0.603363208285299 2 TRUE
2010 213950.062600059 116878218.484162 0.595384509970623 3 TRUE
2010 220139.504290496 118928961.803198 0.571470197279184 4 TRUE
2010 216796.79015531 118683869.228996 0.579356324905408 5 TRUE
2011 175336.473779268 79520102.2362106 0.712361736718468 0 TRUE
2011 194481.649126026 82439708.4354744 0.614188608167533 1 TRUE
2011 195255.098230016 82062434.2287041 0.597604185430031 2 TRUE
2011 196571.062455556 82343274.30513 0.593222075112648 3 TRUE
2011 202774.345862045 82914624.841038 0.575083632349685 4 TRUE
2011 200574.285880328 82628484.8515266 0.577769967352686 5 TRUE
2012 133064.377466857 74056592.9637603 1.15207583377341 0 TRUE
2012 140641.58660113 81242450.5827862 1.01452442462473 1 TRUE
2012 141574.475491644 83312583.3081844 1.01003037318598 2 TRUE
2012 142315.391733304 83648523.8323947 1.00137444680607 3 TRUE
2012 145832.282099468 84466189.6554112 0.985477997784898 4 TRUE
2012 144804.423811459 84752452.1345352 0.99408114314148 5 TRUE
2013 104670.594192592 192546892.290063 1.00158468262343 0 TRUE
2013 112011.925314994 243804401.627821 0.570126380850536 1 TRUE
2013 113835.856478367 243445261.630687 0.538390938914091 2 TRUE
2013 114452.87423273 243833233.869988 0.53333320286118 3 TRUE
2013 116230.207550703 247124912.620062 0.520227647138911 4 TRUE
2013 115904.545880718 246311397.341801 0.519050575280231 5 TRUE
2014 227222.543045538 186115219.486926 0.55824250458008 0 TRUE
2014 294452.65107015 212779352.066625 0.533848245286959 1 TRUE
2014 296729.412677773 211008304.310796 0.523349494488297 2 TRUE
2014 297424.376463161 210944245.746244 0.52067138544592 3 TRUE
2014 302016.546582596 210196595.721741 0.508177299386928 4 TRUE
2014 301171.625712965 210315803.779318 0.510392133741447 5 TRUE
2015 321125.182484393 137368790.838455 1.15042024526014 0 TRUE
2015 373125.520082986 117592346.382509 1.23200294118631 1 TRUE
2015 372330.427485172 117073545.900037 1.23446101824746 2 TRUE
2015 372528.576491583 117326433.027706 1.23303176644592 3 TRUE
2015 375457.782048751 118682505.790649 1.23881793143551 4 TRUE
2015 374621.399244985 118535872.900689 1.23953634287917 5 TRUE
2016 233452.152801914 183364880.966764 1.81397671970182 0 TRUE
2016 204567.430033535 164342716.290572 1.45713655956693 1 TRUE
2016 202193.848905169 166056583.08469 1.43553417683642 2 TRUE
2016 202104.375353658 166869134.316874 1.42607132476227 3 TRUE
